customer_id,snapshot_date,customer_type,gender,primary_channel,total_views_7d,add_to_cart_7d,purchase_7d,recency_days,orders_30d,orders_90d,orders_365d,revenue_30d,revenue_90d,revenue_365d,aov_90d,channel_web_orders_90d,channel_store_orders_90d,channel_marketplace_orders_90d,avg_discount_rate_90d,discounted_line_ratio_90d,interest_top_category_90d,top_category_share_90d,unique_categories_90d,unique_products_90d,category_mix_entropy_90d,tickets_30d,open_tickets,avg_resolution_time_hours_90d,csat_avg_90d,churn_label_30d,future_revenue_6m,future_revenue_12m,segment_hint
cust_2ecf4339d195,2026-01-16,vip,male,web,34,3,1,47,1,1,5,137944.35,452103.08,1114455.92,452103.08,1,0,0,0.3635,0.72,Chưa rõ,0.3875,3,4,0.6729,0,0,37.68,4.39,0,456125.06,1663995.73,New / One-time
cust_939f8003aa5d,2025-04-01,retail,female,web,15,1,2,152,0,1,7,631432.28,1644876.19,5271504.54,1644876.19,1,0,0,0.352,0.3598,Chưa rõ,0.5116,4,2,0.677,3,0,31.16,2.72,1,847131.95,6729889.68,At-risk Dormant
cust_ff956477090b,2025-08-28,retail,female,web,27,3,0,129,0,1,2,796832.15,1500854.73,8330936.29,1500854.73,1,0,0,0.3092,0.748,Chưa rõ,0.5924,3,2,0.4478,1,0,137.24,3.02,1,902814.24,10159269.38,At-risk Dormant
cust_6e87b2c8e33d,2025-06-26,retail,female,web,24,3,1,2,2,5,9,72939.0,248154.19,623804.2,49630.84,5,0,0,0.2849,0.4055,Chưa rõ,0.7393,2,16,0.1807,0,0,32.88,4.08,0,394086.09,664902.25,Loyal Budget
cust_e220c06eb1e5,2025-02-19,vip,male,web,42,4,0,2,1,4,8,417874.55,561199.34,1887963.93,140299.84,3,0,1,0.3777,0.5796,Chưa rõ,0.4929,1,12,0.0,2,0,3.86,5.0,0,952452.77,3178921.07,Loyal Budget
cust_84fd809f803d,2025-01-24,retail,female,web,36,5,0,112,0,1,5,439963.48,940689.09,4944185.66,940689.09,1,0,0,0.3767,0.5636,Chưa rõ,0.5162,3,3,0.5315,1,1,34.31,3.73,1,773797.06,4894833.9,At-risk Dormant
cust_bfbbe2fc7f02,2025-12-02,retail,male,web,24,2,0,124,0,0,2,47154.4,176741.46,1258697.74,0.0,0,0,0,0.3703,0.3669,Chưa rõ,0.8382,2,1,0.1122,0,0,45.7,2.7,1,87704.78,693453.62,At-risk Dormant
cust_32ac1f730922,2025-04-13,retail,male,web,22,2,0,1,1,2,7,3593563.99,6275218.02,18021607.46,3137609.01,2,0,0,0.4465,0.3374,Chưa rõ,0.3061,3,4,0.7624,0,0,15.54,4.42,0,6006079.76,20862468.0,Regular
cust_c0b32e605e1a,2025-07-07,retail,female,web,26,3,1,64,1,2,7,185758.89,539546.0,1684147.31,269773.0,2,0,0,0.2787,0.6589,Chưa rõ,0.3891,5,7,0.9831,0,0,10.24,3.13,1,254786.88,1062515.31,At-risk Dormant
cust_72aba27c2687,2025-07-20,unknown,male,web,21,1,1,129,0,2,3,27673.35,76412.88,393817.53,38206.44,2,0,0,0.3432,0.4474,Chưa rõ,0.447,2,4,0.3833,0,0,2.96,3.4,1,43537.68,236227.16,At-risk Dormant
cust_52a7f2bab5f5,2025-03-28,retail,male,web,20,1,0,153,0,1,5,180699.69,294609.62,1274397.78,294609.62,1,0,0,0.3467,0.3807,Chưa rõ,0.354,2,3,0.4477,0,0,24.11,4.03,1,229556.08,931817.15,At-risk Dormant
cust_2d7a34034ef5,2025-07-31,wholesale,male,web,12,1,0,60,0,1,3,131708.12,234227.42,889623.4,234227.42,1,0,0,0.2666,0.5438,Chưa rõ,0.2632,5,3,1.1859,4,2,25.4,3.61,0,435617.33,986199.8,New / One-time
cust_6c7167467a16,2025-10-22,retail,female,web,22,3,5,18,3,6,11,290435.58,516968.26,1280173.29,86161.38,5,1,0,0.3973,0.9809,Chưa rõ,0.682,2,20,0.2204,0,0,23.97,4.28,0,969895.77,1959205.87,Loyal Budget
cust_8b87c2aaa6f2,2026-01-06,retail,female,web,23,1,0,21,1,1,6,90396.48,170262.87,525094.85,170262.87,1,0,0,0.3247,0.5586,Chưa rõ,0.6897,3,3,0.3409,0,0,8.68,4.49,0,182174.62,709965.28,New / One-time
cust_3883656c388b,2025-11-26,vip,male,web,29,2,1,21,2,3,5,166681.62,397991.28,1059607.14,132663.76,3,0,0,0.3439,0.2794,Chưa rõ,0.5135,4,8,0.6745,0,0,88.67,4.18,0,577433.93,1529178.13,Regular
cust_de1c693847a6,2025-04-07,retail,male,web,26,2,2,29,1,2,6,602966.96,881218.05,2282488.88,440609.02,1,1,0,0.257,0.5238,Chưa rõ,0.95,2,7,0.0347,1,0,27.83,2.98,0,1536587.2,2440037.5,Regular
cust_2f61518ed763,2025-03-18,retail,female,web,24,2,0,140,0,1,3,135557.71,268371.08,794847.19,268371.08,1,0,0,0.291,0.5232,Chưa rõ,0.4555,4,3,0.7548,1,0,80.85,3.15,1,247830.82,1124369.78,At-risk Dormant
cust_6924d096f70e,2025-11-16,retail,male,web,38,5,1,18,1,1,7,74182.25,215375.86,814028.13,215375.86,1,0,0,0.2663,0.4511,Chưa rõ,0.6675,4,3,0.4609,0,0,44.29,4.13,0,400601.16,1884210.98,New / One-time
cust_fb2848c443bd,2026-01-09,vip,other,store,34,3,0,1,1,1,6,353404.12,966744.66,5457253.24,966744.66,0,1,0,0.4216,0.6546,Chưa rõ,0.7246,2,2,0.1909,0,0,22.79,3.66,0,1627494.37,10881292.16,Regular
cust_4c95c5011bc7,2026-03-02,retail,other,marketplace,26,4,1,34,1,2,4,181064.95,361871.0,3157854.11,180935.5,0,0,2,0.322,0.4699,Chưa rõ,0.7592,2,3,0.1669,0,0,14.33,4.16,0,349115.79,5471245.12,Regular
cust_533d35bc9360,2025-11-02,retail,male,store,23,1,1,22,1,3,5,60704.03,115972.17,490030.59,38657.39,1,2,0,0.3263,1.0,Chưa rõ,0.95,2,8,0.0347,0,0,27.62,4.18,0,166311.94,942381.09,Regular
cust_4cc24d8021d2,2025-03-04,vip,male,web,11,1,0,41,0,1,3,353425.98,742908.14,2644039.85,742908.14,1,0,0,0.2381,0.4624,Chưa rõ,0.5077,1,2,0.0,2,0,48.03,4.99,0,1196043.79,6161093.39,Regular
cust_f1c302707ef8,2025-05-30,retail,female,web,28,4,0,90,0,1,4,129458.57,400226.79,2294155.18,400226.79,1,0,0,0.308,0.3971,Chưa rõ,0.5562,3,3,0.4876,1,1,60.54,2.23,1,289648.24,3167026.75,At-risk Dormant
cust_1574d6c7980f,2025-08-27,vip,female,web,35,3,0,38,1,2,4,764399.64,1245126.72,4596511.1,622563.36,2,0,0,0.3897,0.7482,Chưa rõ,0.6982,2,4,0.2092,1,0,14.19,3.8,0,2553435.43,11822837.69,Regular
cust_28f75554a29c,2025-05-08,retail,female,store,28,1,0,33,1,1,3,15653.28,31671.67,150000.0,31671.67,0,1,0,0.3005,0.3505,Chưa rõ,0.3699,1,4,0.0,1,0,7.68,3.92,0,64758.89,414900.23,New / One-time
cust_244133edb74b,2025-07-20,vip,male,web,43,7,1,36,1,1,6,567544.0,799339.72,1924141.22,799339.72,1,0,0,0.2847,0.3674,Chưa rõ,0.6335,4,3,0.508,0,0,10.61,4.0,0,1135302.05,3359440.85,New / One-time
cust_0d924fd191ce,2025-10-06,wholesale,female,web,26,2,0,72,0,1,6,113216.43,225549.0,1353778.59,225549.0,1,0,0,0.3221,0.4334,Chưa rõ,0.5114,3,2,0.5368,0,0,22.26,3.64,1,182193.13,949795.56,At-risk Dormant
cust_04158c186ca8,2025-07-01,vip,male,marketplace,20,2,3,21,1,2,4,378078.68,1487025.49,4979066.17,743512.75,0,0,2,0.357,0.6216,Chưa rõ,0.6024,3,7,0.4368,3,0,1.23,3.95,0,2145563.29,12266353.31,Regular
cust_85736952b6f8,2025-12-31,vip,female,store,47,5,3,117,1,3,7,347433.29,1079287.62,2498476.3,359762.54,0,2,1,0.3341,0.6139,Chưa rõ,0.2803,5,9,1.1584,1,1,33.13,2.51,1,972739.06,3658031.03,At-risk Dormant
cust_18b6653c2b2f,2026-01-15,retail,female,web,27,2,0,23,1,3,7,54780.92,119618.15,996968.97,39872.72,3,0,0,0.3634,0.5716,Chưa rõ,0.33,2,11,0.4644,0,0,41.03,3.44,0,167206.03,1276689.06,Regular
cust_dde93f7fc935,2025-11-03,retail,female,web,47,3,0,37,1,1,3,508102.3,681939.2,4691001.35,681939.2,1,0,0,0.2764,0.5321,Chưa rõ,0.6836,3,3,0.3477,0,0,5.96,4.26,0,1421876.99,13035248.22,Regular
cust_9188d737e30f,2025-04-28,unknown,female,web,25,1,1,86,0,1,7,65924.91,207544.6,1023720.88,207544.6,1,0,0,0.331,0.8096,Chưa rõ,0.5222,1,3,0.0,0,0,11.97,3.26,1,93481.24,620492.02,At-risk Dormant
cust_f6093b68d842,2025-12-03,retail,female,web,35,5,2,51,1,3,5,104428.31,189601.66,990411.75,63200.55,2,0,1,0.2463,0.4353,Chưa rõ,0.76,4,10,0.3327,0,0,13.52,3.95,0,368537.63,992404.06,Regular
cust_2671175f9ae6,2025-09-22,retail,female,web,23,3,1,84,0,1,3,364416.82,790684.69,3977749.33,790684.69,1,0,0,0.3728,0.2921,Chưa rõ,0.8427,2,2,0.109,0,0,25.17,3.03,1,668535.71,4324071.13,At-risk Dormant
cust_342b9cea190b,2025-04-01,retail,female,store,32,4,0,18,1,3,8,80292.88,221967.26,866656.63,73989.09,0,3,0,0.378,0.5132,Chưa rõ,0.3887,1,5,0.0,0,0,16.66,3.76,0,235661.86,2120164.53,Regular
cust_769b09739a32,2025-04-06,vip,female,web,4,1,0,107,0,1,2,676502.92,1235993.21,3246101.85,1235993.21,1,0,0,0.3092,0.3235,Chưa rõ,0.4332,4,3,0.7857,0,0,40.78,3.3,1,842358.62,3940812.82,At-risk Dormant
cust_c789f7c4efae,2025-11-18,retail,male,web,19,1,1,94,2,4,8,2152095.27,4709945.77,13129977.62,1177486.44,3,1,0,0.3378,0.3612,Chưa rõ,0.2639,4,10,1.0204,1,1,56.6,2.95,1,2775709.21,17029568.41,At-risk Dormant
cust_0e1f6e52b06f,2025-10-04,retail,male,web,25,2,0,1,1,2,9,143648.2,301977.54,1550698.57,150988.77,2,0,0,0.2921,0.5795,Chưa rõ,0.7102,3,8,0.3184,0,0,30.19,4.19,0,432258.31,4169775.66,Regular
cust_e7f39b2dd276,2025-04-02,retail,female,web,12,1,0,97,0,2,7,116957.27,169125.18,393868.96,84562.59,2,0,0,0.2552,0.6739,Chưa rõ,0.6171,2,5,0.2654,2,1,18.97,2.29,1,130297.57,233317.14,At-risk Dormant
cust_2fdd29cca153,2025-08-17,unknown,female,web,13,1,0,49,0,1,4,307187.6,547623.4,1564054.89,547623.4,1,0,0,0.3461,0.6848,Chưa rõ,0.5534,2,3,0.3095,1,0,33.13,4.76,0,901484.33,4181164.41,New / One-time
cust_1ddcd86b673f,2025-06-04,retail,female,web,31,3,1,30,1,3,9,201492.94,739818.93,2458089.33,246606.31,3,0,0,0.3505,0.7824,Chưa rõ,0.4308,5,6,0.9161,0,0,7.43,4.08,0,1199269.78,2914232.6,Regular
cust_b65825497755,2025-10-09,retail,female,web,40,3,2,11,2,3,6,59692.14,88374.89,400327.49,29458.3,3,0,0,0.346,0.4165,Chưa rõ,0.1983,3,9,0.8807,0,0,15.43,4.5,0,190527.68,823192.48,Regular
cust_691fa8e67ce0,2025-10-16,retail,female,store,42,3,1,90,1,1,4,124281.86,199062.36,515608.35,199062.36,0,1,0,0.3419,0.3898,Chưa rõ,0.1561,4,3,1.1698,2,1,26.06,2.93,1,100315.89,344105.53,At-risk Dormant
cust_0c9e7e8387c0,2025-06-16,unknown,female,web,19,3,1,49,0,1,4,80210.94,212405.1,1055908.47,212405.1,1,0,0,0.3154,0.612,Chưa rõ,0.7091,1,2,0.0,1,0,8.72,3.92,0,292565.79,2537950.13,New / One-time
cust_f9ef3754b1bc,2025-06-21,unknown,male,web,17,2,0,55,0,2,7,32035.85,95273.08,504873.06,47636.54,2,0,0,0.4307,0.5474,Chưa rõ,0.6725,2,5,0.227,1,0,26.74,4.31,0,151615.2,519017.16,Regular
cust_93086d68fe07,2025-11-17,retail,female,web,25,4,1,24,1,2,4,105386.7,234817.33,1328783.1,117408.66,2,0,0,0.3855,0.4893,Chưa rõ,0.4575,4,7,0.7521,0,0,4.66,4.52,0,502807.58,2007135.07,Regular
cust_6a327bd580aa,2025-05-31,wholesale,female,web,31,4,0,43,1,3,7,320439.66,1089777.49,2487148.5,363259.16,3,0,0,0.4144,0.5322,Chưa rõ,0.15,3,6,0.9338,0,0,3.49,4.52,0,1939994.63,5239961.52,Regular
cust_00b5a32fbd4f,2025-10-21,retail,female,web,22,1,0,37,1,2,7,199374.9,463308.53,1687467.91,231654.27,1,0,1,0.2782,0.7898,Chưa rõ,0.15,3,5,0.9338,1,0,11.45,4.21,0,675634.4,2750276.35,Regular
cust_25be8890ee67,2025-12-26,retail,female,store,33,4,1,40,1,2,4,403315.53,962000.16,2830930.91,481000.08,0,2,0,0.3584,0.5352,Chưa rõ,0.15,3,5,0.9338,1,0,14.08,4.91,0,1358008.46,4549837.65,Regular
cust_831ec187349e,2025-06-08,retail,male,web,16,2,0,60,0,1,4,165758.45,244335.29,806473.43,244335.29,1,0,0,0.3055,0.5302,Chưa rõ,0.2799,3,4,0.7912,0,0,3.6,4.88,0,222840.51,995235.47,New / One-time
cust_ab40859143ca,2025-01-28,retail,female,store,30,3,1,74,1,3,6,1329528.47,3410704.35,8096302.25,1136901.45,0,2,1,0.2872,0.4113,Chưa rõ,0.1768,3,7,0.9044,1,1,41.7,2.7,1,1804316.88,11808282.46,At-risk Dormant
