Tên,Địa chỉ,Số điện thoại,Link
HANMAEUM KOREA BBQ,"174 Hà Huy Tập, Tân Phong, Quận 7, Hồ Chí Minh 72915",0869 870 101,https://www.google.gg/maps/place/HANMAEUM+KOREA+BBQ/data=!4m7!3m6!1s0x31752f004f384327:0x7d3ee4b64c3baf3!8m2!3d10.7265717!4d106.7069941!16s%2Fg%2F11y5r6mgv_!19sChIJJ0M4TwAvdTER87rDZEvu0wc?authuser=0&hl=en&rclk=1
Sushi Haru,"458 Đ. Nguyễn Thị Thập, Tân Quy, Quận 7, Hồ Chí Minh",1900 555506,https://www.google.gg/maps/place/Sushi+Haru/data=!4m7!3m6!1s0x31752f759b9bb3c1:0x71cd7a6749744e1c!8m2!3d10.7394396!4d106.7072969!16s%2Fg%2F11t7zhwwg8!19sChIJwbObm3UvdTERHE50SWd6zXE?authuser=0&hl=en&rclk=1
"Bò Tơ Quán Mộc 43-45 Nguyễn Thị Thập ,P.Tân Hưng","45 Đ. Nguyễn Thị Thập, Khu đô thị Him Lam, Quận 7, Hồ Chí Minh 700000",0858 453 388,"https://www.google.gg/maps/place/B%C3%B2+T%C6%A1+Qu%C3%A1n+M%E1%BB%99c+43-45+Nguy%E1%BB%85n+Th%E1%BB%8B+Th%E1%BA%ADp+,P.T%C3%A2n+H%C6%B0ng/data=!4m7!3m6!1s0x31752f547e0b0ce7:0xb49608f828fbdb93!8m2!3d10.740461!4d106.6987225!16s%2Fg%2F11tdvg_tqn!19sChIJ5wwLflQvdTERk9v7KPgIlrQ?authuser=0&hl=en&rclk=1"
Nhà hàng Mái lá,"67/1 Đường 10, Tân Quy, Quận 7, Hồ Chí Minh",,https://www.google.gg/maps/place/Nh%C3%A0+h%C3%A0ng+M%C3%A1i+l%C3%A1/data=!4m7!3m6!1s0x31752f0045c7d6c9:0x32e89097e0cfec1f!8m2!3d10.7415973!4d106.7088479!16s%2Fg%2F11wmmtgygk!19sChIJydbHRQAvdTERH-zP4JeQ6DI?authuser=0&hl=en&rclk=1
Hệ thống Lẩu dê 404 Quận 7 - Đường số 41,"12 Đường số 41, Tân Phong, Quận 7, Hồ Chí Minh 70000",0793 738 404,https://www.google.gg/maps/place/H%E1%BB%87+th%E1%BB%91ng+L%E1%BA%A9u+d%C3%AA+404+Qu%E1%BA%ADn+7+-+%C4%90%C6%B0%E1%BB%9Dng+s%E1%BB%91+41/data=!4m7!3m6!1s0x31752f0065b43be3:0x555b404bb3538c23!8m2!3d10.738186!4d106.7109837!16s%2Fg%2F11x0fylrz6!19sChIJ4zu0ZQAvdTERI4xTs0tAW1U?authuser=0&hl=en&rclk=1
NHÀ HÀNG VIỄN ĐÔNG,"74 Đường số 6, Tân Hưng, Quận 7, Hồ Chí Minh 72900",0934 632 728,https://www.google.gg/maps/place/NH%C3%80+H%C3%80NG+VI%E1%BB%84N+%C4%90%C3%94NG/data=!4m7!3m6!1s0x31752f00482ebdef:0x1ac43e906e0b2088!8m2!3d10.7302465!4d106.707085!16s%2Fg%2F11ltm96jn1!19sChIJ770uSAAvdTERiCALbpA-xBo?authuser=0&hl=en&rclk=1
Nhà Hàng Nướng TOSHIRO BBQ,"61 Đường số 39, Tân Quy, Quận 7, Hồ Chí Minh 72913",0703 831 831,https://www.google.gg/maps/place/Nh%C3%A0+H%C3%A0ng+N%C6%B0%E1%BB%9Bng+TOSHIRO+BBQ/data=!4m7!3m6!1s0x31752f1e66ab69b3:0xa0553a194c4ee243!8m2!3d10.7437967!4d106.7146414!16s%2Fg%2F11v6x1nk_k!19sChIJs2mrZh4vdTERQ-JOTBk6VaA?authuser=0&hl=en&rclk=1
HAO XIANG - Nhà hàng Hàn Quốc,"77 Đ. Số 2, Tân Phong, Quận 7, Hồ Chí Minh 72915",0909 664 974,https://www.google.gg/maps/place/HAO+XIANG+-+Nh%C3%A0+h%C3%A0ng+H%C3%A0n+Qu%E1%BB%91c/data=!4m7!3m6!1s0x31752fcdb4090801:0x947cf5a3da21d752!8m2!3d10.7336541!4d106.7072641!16s%2Fg%2F11k9jnkq0p!19sChIJAQgJtM0vdTERUtch2qP1fJQ?authuser=0&hl=en&rclk=1
TUDAK Gà om,"105 Đ. Số 40, Tân Phong, Quận 7, Hồ Chí Minh 70000",0705 049 717,https://www.google.gg/maps/place/TUDAK+G%C3%A0+om/data=!4m7!3m6!1s0x31752f8525df8417:0x7766c49b5578cde5!8m2!3d10.7369447!4d106.7055494!16s%2Fg%2F11ggbnctwr!19sChIJF4TfJYUvdTER5c14VZvEZnc?authuser=0&hl=en&rclk=1
Sukdon 🍖,"8 Đ. Nội Khu Hưng Gia 4, Tân Phong, Quận 7, Hồ Chí Minh 700000",0973 989 190,https://www.google.gg/maps/place/Sukdon+%F0%9F%8D%96/data=!4m7!3m6!1s0x31752f80cb42323f:0x8ec3f02d6a6df263!8m2!3d10.7325283!4d106.7080287!16s%2Fg%2F11h8m9t8j5!19sChIJPzJCy4AvdTERY_Jtai3ww44?authuser=0&hl=en&rclk=1
"Lòng Hoa - Cháo Lòng, Lòng Rán Hà Nội","153 Đường số 79, Tân Quy, Quận 7, Hồ Chí Minh 70000",0904 405 898,"https://www.google.gg/maps/place/L%C3%B2ng+Hoa+-+Ch%C3%A1o+L%C3%B2ng,+L%C3%B2ng+R%C3%A1n+H%C3%A0+N%E1%BB%99i/data=!4m7!3m6!1s0x31752f214f6e9c17:0x120249610066c68!8m2!3d10.7405473!4d106.7061483!16s%2Fg%2F11k3ngzy77!19sChIJF5xuTyEvdTERaGwGEJYkIAE?authuser=0&hl=en&rclk=1"
Quán chay Tâm An,"65 Đường số 79, Tân Quy, Quận 7, Hồ Chí Minh",0938 912 199,https://www.google.gg/maps/place/Qu%C3%A1n+chay+T%C3%A2m+An/data=!4m7!3m6!1s0x31752f1b5248a7ed:0x2a22e770a5dd2ecc!8m2!3d10.7399271!4d106.7104926!16s%2Fg%2F11s4y3q9pl!19sChIJ7adIUhsvdTERzC7dpXDnIio?authuser=0&hl=en&rclk=1
Phở Mong,"242 Khánh Hội, Phường 6, Quận 4, Hồ Chí Minh",0773 000 668,https://www.google.gg/maps/place/Ph%E1%BB%9F+Mong+24H-+Ph%E1%BB%9F+c%E1%BB%95+Vi%E1%BB%87t+Nam+-+Ph%C3%B2ng+tho%C3%A1ng+m%C3%A1t/data=!4m7!3m6!1s0x31752fd764b243c7:0xf51cfd85fdcca59!8m2!3d10.759298!4d106.69888!16s%2Fg%2F11sgmg2zdd!19sChIJx0OyZNcvdTERWcrcX9jPUQ8?authuser=0&hl=en&rclk=1
Yan Sushi,"2 Đường số 38, Tân Quy, Quận 7, Hồ Chí Minh 70001",0982 266 447,https://www.google.gg/maps/place/Yan+Sushi/data=!4m7!3m6!1s0x31752fe518ecf863:0xa06077f576c6ca6b!8m2!3d10.73988!4d106.709795!16s%2Fg%2F11j91ybt84!19sChIJY_jsGOUvdTERa8rGdvV3YKA?authuser=0&hl=en&rclk=1
Nhà hàng Chú Cua (장인이 어부)(꽃게아저씨),"S41-1CC Sky Garden, 2 Đ. Phạm Văn Nghị, P, Quận 7, Hồ Chí Minh 70000",0967 037 807,https://www.google.gg/maps/place/Nh%C3%A0+h%C3%A0ng+Ch%C3%BA+Cua+%28%EC%9E%A5%EC%9D%B8%EC%9D%B4+%EC%96%B4%EB%B6%80%29%28%EA%BD%83%EA%B2%8C%EC%95%84%EC%A0%80%EC%94%A8%29/data=!4m7!3m6!1s0x31752f0c10e086d1:0xcdaa176edbf1f306!8m2!3d10.7302457!4d106.7066309!16s%2Fg%2F11r6xv92mv!19sChIJ0YbgEAwvdTERBvPx224Xqs0?authuser=0&hl=en&rclk=1
Nhà Hàng Hương Phố,"231 Đ. Nguyễn Thị Thập, Khu định cư Tân Quy Đông, Quận 7, Hồ Chí Minh",,https://www.google.gg/maps/place/Nh%C3%A0+H%C3%A0ng+H%C6%B0%C6%A1ng+Ph%E1%BB%91/data=!4m7!3m6!1s0x31752f841b1afadd:0x3689a90044aa7282!8m2!3d10.7396795!4d106.7041686!16s%2Fg%2F11j00sqg37!19sChIJ3foaG4QvdTERgnKqRACpiTY?authuser=0&hl=en&rclk=1
Agra Mahal Indian restaurant,"43 Phan Khiêm Ích, Tân Phong, Quận 7, Hồ Chí Minh 720000",0886 017 851,https://www.google.gg/maps/place/Agra+Mahal+Indian+restaurant/data=!4m7!3m6!1s0x31752f4f02a9c0e9:0xf3fdee9c186c6a6f!8m2!3d10.7327852!4d106.7088317!16s%2Fg%2F11vx7hkd4_!19sChIJ6cCpAk8vdTERb2psGJzu_fM?authuser=0&hl=en&rclk=1
Nhà hàng Hoàng Tâm - Phú Mỹ Hưng,"24 Raymondienne, Tân Phú, Quận 7, Hồ Chí Minh 70000",0969 002 200,https://www.google.gg/maps/place/Nh%C3%A0+h%C3%A0ng+Ho%C3%A0ng+T%C3%A2m+-+Ph%C3%BA+M%E1%BB%B9+H%C6%B0ng/data=!4m7!3m6!1s0x3175257d16543d09:0x45cfeb1ea962587c!8m2!3d10.7287894!4d106.726288!16s%2Fg%2F11jdm6t2d8!19sChIJCT1UFn0ldTERfFhiqR7rz0U?authuser=0&hl=en&rclk=1
Nhà hàng Tứ Xuyên Chuan Xiaochu,"25 Nội khu Hưng Phước 2, P, Quận 7, Hồ Chí Minh",0931 536 188,https://www.google.gg/maps/place/Nh%C3%A0+h%C3%A0ng+T%E1%BB%A9+Xuy%C3%AAn+Chuan+Xiaochu/data=!4m7!3m6!1s0x31752f61f87f54cf:0xe88e63c8868a45a2!8m2!3d10.7313879!4d106.7075014!16s%2Fg%2F11swwvd0nw!19sChIJz1R_-GEvdTERokWKhshjjug?authuser=0&hl=en&rclk=1
Nhà Hàng Thạch Hãn,"115 Đ. Lâm Văn Bền, Tân Thuận Tây, Quận 7, Hồ Chí Minh 700000",0939 095 115,https://www.google.gg/maps/place/Nh%C3%A0+H%C3%A0ng+Th%E1%BA%A1ch+H%C3%A3n/data=!4m7!3m6!1s0x31752f78ebb25565:0x54c192ef3b8ce452!8m2!3d10.7463257!4d106.7160342!16s%2Fg%2F11zq3yntv!19sChIJZVWy63gvdTERUuSMO--SwVQ?authuser=0&hl=en&rclk=1
Nhà Hàng Hàn Quốc The Dam,"32 Khu Phố Hưng Gia 1, Tân Phong, Quận 7, Hồ Chí Minh",0777 818 760,https://www.google.gg/maps/place/Nh%C3%A0+H%C3%A0ng+H%C3%A0n+Qu%E1%BB%91c+The+Dam/data=!4m7!3m6!1s0x31752f8ac9c3a95b:0x5f1b31b73c880259!8m2!3d10.7334626!4d106.7091128!16s%2Fg%2F11gy7gryjz!19sChIJW6nDyYovdTERWQKIPLcxG18?authuser=0&hl=en&rclk=1
KIMSMAN - Nhà hàng Trung Hoa,"18 Đường Số 12, Tân Phú, Quận 7, Hồ Chí Minh 700000",0589 771 097,https://www.google.gg/maps/place/KIMSMAN+-+Nh%C3%A0+h%C3%A0ng+Trung+Hoa/data=!4m7!3m6!1s0x31752f003f0f8f21:0x733df99395b346bc!8m2!3d10.7361475!4d106.7171839!16s%2Fg%2F11xsgfnz0n!19sChIJIY8PPwAvdTERvEazlZP5PXM?authuser=0&hl=en&rclk=1
맛남 해물탕. NHÀ HÀNG HẢI SẢN MATNAM,"Sky Garden 2, S50-1 Đ. Phạm Văn Nghị, Khu đô thị Phú Mỹ Hưng, Quận 7, Hồ Chí Minh 700000",0908 447 676,https://www.google.gg/maps/place/%EB%A7%9B%EB%82%A8+%ED%95%B4%EB%AC%BC%ED%83%95.+NH%C3%80+H%C3%80NG+H%E1%BA%A2I+S%E1%BA%A2N+MATNAM/data=!4m7!3m6!1s0x31752f861ed5d16b:0x9f018dfa02c12322!8m2!3d10.7309115!4d106.7065824!16s%2Fg%2F11wj0t2qtg!19sChIJa9HVHoYvdTERIiPBAvqNAZ8?authuser=0&hl=en&rclk=1
Vân Nam Hội - Nhà hàng hương vị Vân Nam - 云南荟,"Đ. Số 2/104 Hưng Gia 1, 5, Khu đô thị Phú Mỹ Hưng, Quận 7, Hồ Chí Minh",0842 459 067,https://www.google.gg/maps/place/V%C3%A2n+Nam+H%E1%BB%99i+-+Nh%C3%A0+h%C3%A0ng+h%C6%B0%C6%A1ng+v%E1%BB%8B+V%C3%A2n+Nam+-+%E4%BA%91%E5%8D%97%E8%8D%9F/data=!4m7!3m6!1s0x31752f003c49fca9:0xc5622e50fc00e893!8m2!3d10.733944!4d106.7071389!16s%2Fg%2F11lzgwkj7w!19sChIJqfxJPAAvdTERk-gA_FAuYsU?authuser=0&hl=en&rclk=1
Nhà hàng Hàn Quốc - Việt Nam Ngon,"Phố Hưng Phước 3, P. Phú Thuận, Quận 7, Hồ Chí Minh",0792 926 198,https://www.google.gg/maps/place/Nh%C3%A0+h%C3%A0ng+H%C3%A0n+Qu%E1%BB%91c+-+Vi%E1%BB%87t+Nam+Ngon/data=!4m7!3m6!1s0x31752f911210cb33:0x87350cff3347b2d7!8m2!3d10.7307058!4d106.7070056!16s%2Fg%2F11cspln3kw!19sChIJM8sQEpEvdTER17JHM_8MNYc?authuser=0&hl=en&rclk=1
D'Maris,"Lotte Mart, Tầng 3 - Tòa, 469 Đ. Nguyễn Hữu Thọ, Tân Hưng, Quận 7, Hồ Chí Minh",1900 0036,https://www.google.gg/maps/place/D%27Maris/data=!4m7!3m6!1s0x31752f9f3dca0849:0xbc2310161c791201!8m2!3d10.7412671!4d106.7018111!16s%2Fg%2F11f2w6hfpf!19sChIJSQjKPZ8vdTERARJ5HBYQI7w?authuser=0&hl=en&rclk=1
HARU RESTAURANT,"BALI HOTEL, 39 Khu Phố Hưng Phước 3, Tân Phong, Quận 7, Hồ Chí Minh 756620",0399 862 633,https://www.google.gg/maps/place/HARU+RESTAURANT/data=!4m7!3m6!1s0x31752f9602f3e18f:0x1ef53761104dc3ce!8m2!3d10.7304422!4d106.7071088!16s%2Fg%2F11r1v32p4t!19sChIJj-HzApYvdTERzsNNEGE39R4?authuser=0&hl=en&rclk=1
Nathalie's Thai Restaurant,"23 Bùi Bằng Đoàn, Tân Phong, Quận 7, Hồ Chí Minh",0392 028 800,https://www.google.gg/maps/place/Nathalie%27s+Thai+Restaurant/data=!4m7!3m6!1s0x31752f9178b5e37b:0x21d26b8cb893244a!8m2!3d10.7293758!4d106.7087402!16s%2Fg%2F11xbn0d7q!19sChIJe-O1eJEvdTERSiSTuIxr0iE?authuser=0&hl=en&rclk=1
Nhà hàng Trăm Năm 푸미흥 백년 BBQ,"36 Đường số 6, Phú Mỹ Hưng, Tân Hưng, Hồ Chí Minh 700000",0342 658 322,https://www.google.gg/maps/place/Nh%C3%A0+h%C3%A0ng+Tr%C4%83m+N%C4%83m+%ED%91%B8%EB%AF%B8%ED%9D%A5+%EB%B0%B1%EB%85%84+BBQ/data=!4m7!3m6!1s0x31752f9175292f07:0xbd618ebb52aa2233!8m2!3d10.7302562!4d106.7083484!16s%2Fg%2F11dfkbv1k7!19sChIJBy8pdZEvdTERMyKqUruOYb0?authuser=0&hl=en&rclk=1
Shang Garden Restaurant,"23 Nguyễn Khắc Viện, Phường Tân Mỹ, Quận 7, Hồ Chí Minh",028 6653 5278,https://www.google.gg/maps/place/Shang+Garden+Restaurant/data=!4m7!3m6!1s0x31752f897493ead1:0xbed8a6f1480b7114!8m2!3d10.7291888!4d106.7201517!16s%2Fg%2F1tfn_z7_!19sChIJ0eqTdIkvdTERFHELSPGm2L4?authuser=0&hl=en&rclk=1
Dntn Nhà Hàng Thiên Quế,"116 Số 47, Tân Quy, Quận 7, Hồ Chí Minh",028 6684 8445,https://www.google.gg/maps/place/Dntn+Nh%C3%A0+H%C3%A0ng+Thi%C3%AAn+Qu%E1%BA%BF/data=!4m7!3m6!1s0x31752f82fffbdcf3:0x61f44155c0b8e131!8m2!3d10.7421286!4d106.7146734!16s%2Fg%2F11ynxl7v2!19sChIJ89z7_4IvdTERMeG4wFVB9GE?authuser=0&hl=en&rclk=1
Popeyes Nguyễn Thị Thập,"519 Đ. Nguyễn Thị Thập, Tân Phong, Quận 7, Hồ Chí Minh",028 3775 2286,https://www.google.gg/maps/place/Popeyes+Nguy%E1%BB%85n+Th%E1%BB%8B+Th%E1%BA%ADp/data=!4m7!3m6!1s0x31752f9953e7f6eb:0xca9d89f33fe2999d!8m2!3d10.7391025!4d106.7070884!16s%2Fg%2F11c1mgbqxy!19sChIJ6_bnU5kvdTERnZniP_OJnco?authuser=0&hl=en&rclk=1
ỐC TAO QUẬN 7,"80 Đường số 28, Tân Phong, Quận 7, Hồ Chí Minh",0937 101 018,https://www.google.gg/maps/place/%E1%BB%90C+TAO+QU%E1%BA%ACN+7/data=!4m7!3m6!1s0x31752f9e842cb041:0x9fcb6e827f6c70ae!8m2!3d10.7381096!4d106.7124288!16s%2Fg%2F11h7_tqbq9!19sChIJQbAshJ4vdTERrnBsf4Juy58?authuser=0&hl=en&rclk=1
Nhà Hàng Hàn Quốc Gogizip BBQ,"R2-24 93, Đ. Phạm Văn Nghị/Khu Hưng Phước 4, Quận 7, Hồ Chí Minh 72915",0898 611 611,https://www.google.gg/maps/place/Nh%C3%A0+H%C3%A0ng+H%C3%A0n+Qu%E1%BB%91c+Gogizip+BBQ/data=!4m7!3m6!1s0x31752ff5c5acae2b:0xbfdad8dfae8af1f8!8m2!3d10.7298955!4d106.7068713!16s%2Fg%2F11tfdgr9qc!19sChIJK66sxfUvdTER-PGKrt_Y2r8?authuser=0&hl=en&rclk=1
Nhà Hàng Hàn Quốc DORAN DORAN,"126 Cô Bắc, Phường Cô Giang, Quận 1, Hồ Chí Minh 700000",0789 128 126,https://www.google.gg/maps/place/Nh%C3%A0+H%C3%A0ng+H%C3%A0n+Qu%E1%BB%91c+DORAN+DORAN/data=!4m7!3m6!1s0x31752ff8ed686e27:0x1538ce5831d6929d!8m2!3d10.7645678!4d106.6943001!16s%2Fg%2F11k3pymxcr!19sChIJJ25o7fgvdTERnZLWMVjOOBU?authuser=0&hl=en&rclk=1
Nhà Hàng Tukung,"24 Bùi Bằng Đoàn, Khu đô thị Phú Mỹ Hưng, Quận 7, Hồ Chí Minh 70000",0707 024 088,https://www.google.gg/maps/place/Nh%C3%A0+H%C3%A0ng+Tukung/data=!4m7!3m6!1s0x31752f004f9e04c3:0xe175b4998663afca!8m2!3d10.7318366!4d106.7087232!16s%2Fg%2F11wbx2mvhk!19sChIJwwSeTwAvdTERyq9jhpm0deE?authuser=0&hl=en&rclk=1
Hàng Dương Sakura,"224 Đ. Số 48, Phường 2, Quận 4, Hồ Chí Minh",1800 9478,https://www.google.gg/maps/place/H%C3%A0ng+D%C6%B0%C6%A1ng+Sakura/data=!4m7!3m6!1s0x31752f12dc66d2c9:0x11e893302c08ffc3!8m2!3d10.7587853!4d106.6986718!16s%2Fg%2F1tfttg9y!19sChIJydJm3BIvdTERw_8ILDCT6BE?authuser=0&hl=en&rclk=1
Nhà Hàng Simple Chay - Simple Chay Restaurant,"9 Đường Số 12, phường Him Lam, Quận 7, Hồ Chí Minh 70000",0947 546 768,https://www.google.gg/maps/place/Nh%C3%A0+H%C3%A0ng+Simple+Chay+-+Simple+Chay+Restaurant/data=!4m7!3m6!1s0x31752f003bd934d3:0x4ec15e5ffaa9d769!8m2!3d10.7411131!4d106.6992548!16s%2Fg%2F11xh5lcvhl!19sChIJ0zTZOwAvdTERadep-l9ewU4?authuser=0&hl=en&rclk=1
Nhà Hàng Tomo,"PPM4+4J3, Phan Khiêm Ích, Tân Phong, Quận 7, Hồ Chí Minh",0907 585 576,https://www.google.gg/maps/place/Nh%C3%A0+H%C3%A0ng+Tomo/data=!4m7!3m6!1s0x31752f9067dcd96b:0x31027a493e4e35f5!8m2!3d10.7327661!4d106.7065438!16s%2Fg%2F1hc4pfz_1!19sChIJa9ncZ5AvdTER9TVOPkl6AjE?authuser=0&hl=en&rclk=1
Lẩu Cua Đồng Món Lạ,"14 Đ. Số 10, Tân Quy, Quận 7, Hồ Chí Minh",,https://www.google.gg/maps/place/L%E1%BA%A9u+Cua+%C4%90%E1%BB%93ng+M%C3%B3n+L%E1%BA%A1/data=!4m7!3m6!1s0x31752f9c9713db2b:0x2bf53fa9d61ce694!8m2!3d10.7405374!4d106.7098003!16s%2Fg%2F11fkn191lf!19sChIJK9sTl5wvdTERlOYc1qk_9Ss?authuser=0&hl=en&rclk=1
Nhà Hàng Nướng BAU,"Đ. Nội Khu Hưng Gia 4/69 Phan Khiêm Ích, Tân Phong, Quận 7, Hồ Chí Minh",028 5416 8368,https://www.google.gg/maps/place/Nh%C3%A0+H%C3%A0ng+N%C6%B0%E1%BB%9Bng+BAU/data=!4m7!3m6!1s0x31752f908d5129c7:0xa592cb92ceb87ae4!8m2!3d10.7325186!4d106.708337!16s%2Fg%2F11btlzj1fp!19sChIJxylRjZAvdTER5Hq4zpLLkqU?authuser=0&hl=en&rclk=1
Lẩu Bò Năm Trọng,"C12/9E Mai Văn Vĩnh, Tân Quy, Quận 7, Hồ Chí Minh",0909 338 042,https://www.google.gg/maps/place/L%E1%BA%A9u+B%C3%B2+N%C4%83m+Tr%E1%BB%8Dng/data=!4m7!3m6!1s0x31752f836dc121df:0xebdb57fb366bd55!8m2!3d10.740454!4d106.7138155!16s%2Fg%2F11gfmcc6dg!19sChIJ3yHBbYMvdTERVb1ms3-1vQ4?authuser=0&hl=en&rclk=1
AN - nhà hàng chay An & cafe - Phạm Thái Bường,"220 Phạm Thái Bường, Tân Phong, Quận 7, Hồ Chí Minh 70000",0862 462 179,https://www.google.gg/maps/place/AN+-+nh%C3%A0+h%C3%A0ng+chay+An+%26+cafe+-+Ph%E1%BA%A1m+Th%C3%A1i+B%C6%B0%E1%BB%9Dng/data=!4m7!3m6!1s0x31752f1b223d3a45:0x9f3b5d0dd2597ef3!8m2!3d10.7275792!4d106.7124718!16s%2Fg%2F11s57yrk_7!19sChIJRTo9IhsvdTER835Z0g1dO58?authuser=0&hl=en&rclk=1
NHÀ HÀNG Ẩm Thực Bến Xưa,"96/14 Đ. Nguyễn Thị Thập, Bình Thuận, Quận 7, Hồ Chí Minh 700000",0703 666 286,https://www.google.gg/maps/place/NH%C3%80+H%C3%80NG+%E1%BA%A8m+Th%E1%BB%B1c+B%E1%BA%BFn+X%C6%B0a/data=!4m7!3m6!1s0x31752ff023d37f57:0x7d408f4baf16479a!8m2!3d10.7392146!4d106.7229962!16s%2Fg%2F11v0hpx50m!19sChIJV3_TI_AvdTERmkcWr0uPQH0?authuser=0&hl=en&rclk=1
