customer_id,first_purchase_date,acquisition_channel,campaign_type,acquisition_cost,recency,frequency_90d,monetary_90d,avg_order_value,product_diversity,return_rate,email_open_rate,support_ticket_count,CLV_target,money_unit_note
C00028,2024-07-16,Meta,Prospecting,18.31,518,1,284242,284242,1,0.17,0.53,0,170545,same unit as product_data_base.price_current
C00029,2025-04-11,Google,Prospecting,21.53,249,1,240708,240708,1,0.21,0.23,0,144425,same unit as product_data_base.price_current
C00030,2024-10-08,Google,Prospecting,12.18,312,4,1810272,452568,1,0.0,0.38,0,1086163,same unit as product_data_base.price_current
C00031,2023-01-21,Meta,Prospecting,12.25,900,1,166830,166830,1,0.19,0.32,0,100098,same unit as product_data_base.price_current
C00032,2025-04-20,Google,Prospecting,19.66,119,4,2631161,657790,1,0.14,0.36,1,4491138,same unit as product_data_base.price_current
C00033,2023-06-16,Meta,Retargeting,5.91,846,2,615830,307915,1,0.0,0.24,0,369498,same unit as product_data_base.price_current
C00034,2024-01-23,Direct,Organic,0.0,693,1,1993643,1993643,1,0.5,0.52,0,1196186,same unit as product_data_base.price_current
C00035,2024-08-23,Meta,Prospecting,20.57,380,19,13015715,685038,1,0.0,0.28,3,7809429,same unit as product_data_base.price_current
C00036,2023-11-12,Direct,Organic,0.0,765,1,460307,460307,1,0.0,0.15,0,276184,same unit as product_data_base.price_current
C00037,2023-01-14,Google,Retargeting,7.75,900,1,558751,558751,1,0.0,0.32,0,335251,same unit as product_data_base.price_current
C00038,2023-08-30,Email,Retargeting,1.33,653,12,8559889,713324,1,0.0,0.55,0,5135933,same unit as product_data_base.price_current
C00039,2025-02-15,Google,Prospecting,18.47,304,1,242707,242707,1,0.0,0.25,0,145624,same unit as product_data_base.price_current
C00040,2024-07-18,Google,Prospecting,13.75,427,3,1293497,431166,1,0.0,0.17,0,776098,same unit as product_data_base.price_current
C00041,2025-06-16,Google,Prospecting,21.08,183,1,1211103,1211103,1,0.2,0.43,0,755104,same unit as product_data_base.price_current
C00042,2023-04-02,Direct,Organic,0.0,900,3,889154,296385,1,0.0,0.46,0,533492,same unit as product_data_base.price_current
C00043,2025-08-13,Google,Retargeting,5.35,39,3,1062158,354053,1,0.0,0.24,0,8285581,same unit as product_data_base.price_current
C00044,2024-05-23,Google,Prospecting,29.29,572,1,1355081,1355081,1,0.18,0.33,0,813049,same unit as product_data_base.price_current
C00045,2025-02-14,Google,Prospecting,5.93,305,1,221760,221760,1,0.14,0.16,0,133056,same unit as product_data_base.price_current
C00046,2023-02-04,Direct,Organic,0.0,900,1,904366,904366,1,0.0,0.34,0,542619,same unit as product_data_base.price_current
C00047,2023-07-25,Email,Retargeting,1.58,802,10,6628908,662891,1,0.0,0.47,0,3977345,same unit as product_data_base.price_current
C00048,2025-10-22,Meta,Prospecting,14.46,55,1,358401,358401,1,0.0,0.47,0,1223577,same unit as product_data_base.price_current
C00049,2025-10-18,Email,Retargeting,1.46,0,6,5100094,850016,1,0.0,0.4,1,12740962,same unit as product_data_base.price_current
C00050,2024-07-19,Email,Retargeting,0.05,351,3,1259014,419671,1,0.26,0.37,0,755408,same unit as product_data_base.price_current
C00051,2024-12-03,Direct,Organic,0.0,378,1,648111,648111,1,0.4,0.32,0,388867,same unit as product_data_base.price_current
C00052,2024-02-06,Direct,Organic,0.0,679,1,649434,649434,1,0.0,0.29,0,389660,same unit as product_data_base.price_current
C00053,2024-12-30,Email,Retargeting,3.4,351,1,644184,644184,1,0.0,0.52,0,386510,same unit as product_data_base.price_current
C00054,2023-06-11,Meta,Prospecting,17.99,900,1,1062895,1062895,1,0.27,0.3,0,637737,same unit as product_data_base.price_current
C00055,2023-07-21,Direct,Organic,0.0,879,1,155913,155913,1,0.0,0.18,0,93548,same unit as product_data_base.price_current
C00056,2025-09-22,Google,Prospecting,7.94,85,1,489147,489147,1,0.2,0.43,0,1161092,same unit as product_data_base.price_current
C00057,2023-09-27,Affiliate,Prospecting,4.48,811,1,428563,428563,1,0.11,0.31,0,257138,same unit as product_data_base.price_current
C00058,2025-03-26,Meta,Prospecting,4.79,265,1,461333,461333,1,0.45,0.06,2,276800,same unit as product_data_base.price_current
C00059,2024-03-31,Meta,Prospecting,12.75,625,1,625237,625237,1,0.0,0.34,0,375142,same unit as product_data_base.price_current
C00060,2025-10-13,Meta,Prospecting,22.44,24,7,2364744,337821,1,0.07,0.26,0,10840750,same unit as product_data_base.price_current
C00061,2023-10-23,Email,Retargeting,1.65,785,1,104821,104821,1,0.0,0.34,0,62893,same unit as product_data_base.price_current
C00062,2024-12-20,Direct,Organic,0.0,361,1,948572,948572,1,0.25,0.49,1,569143,same unit as product_data_base.price_current
C00063,2023-12-04,Meta,Prospecting,10.87,743,1,66438,66438,1,0.0,0.2,0,39863,same unit as product_data_base.price_current
C00064,2025-05-28,Email,Retargeting,2.66,202,1,1015588,1015588,1,0.15,0.59,0,609353,same unit as product_data_base.price_current
C00065,2025-03-02,Email,Retargeting,2.14,289,1,555968,555968,1,0.06,0.56,0,333581,same unit as product_data_base.price_current
C00066,2023-08-05,Email,Retargeting,1.84,622,3,2475912,825304,1,0.53,0.39,0,1485547,same unit as product_data_base.price_current
C00067,2025-02-02,Meta,Prospecting,18.03,317,1,315571,315571,1,0.19,0.28,0,189343,same unit as product_data_base.price_current
C00068,2023-07-07,Direct,Organic,0.0,893,1,107526,107526,1,0.0,0.42,0,64516,same unit as product_data_base.price_current
C00069,2024-01-15,Meta,Prospecting,3.03,547,12,5360276,446690,1,0.0,0.36,1,3216166,same unit as product_data_base.price_current
C00070,2024-05-07,Email,Retargeting,2.26,510,3,1995697,665232,1,0.0,0.37,0,1197418,same unit as product_data_base.price_current
C00071,2025-11-30,Meta,Prospecting,21.33,22,2,652699,326349,1,0.0,0.07,0,1651902,same unit as product_data_base.price_current
C00072,2023-01-15,Google,Retargeting,3.04,900,3,2223564,741188,1,0.21,0.2,1,1334139,same unit as product_data_base.price_current
C00073,2023-03-06,Direct,Organic,0.0,900,6,2919482,486580,1,0.0,0.37,0,1751689,same unit as product_data_base.price_current
C00074,2024-06-04,Meta,Prospecting,11.41,441,3,1593761,531254,1,0.0,0.17,0,956257,same unit as product_data_base.price_current
C00075,2024-10-09,Meta,Prospecting,1.95,433,1,1016747,1016747,1,0.41,0.47,0,610048,same unit as product_data_base.price_current
C00076,2024-08-15,Email,Retargeting,1.54,488,1,1050853,1050853,1,0.05,0.52,0,630512,same unit as product_data_base.price_current
C00077,2024-01-27,Google,Prospecting,12.24,476,2,511904,255952,1,0.07,0.3,1,307142,same unit as product_data_base.price_current
C00078,2024-02-23,Google,Retargeting,13.35,576,9,4368104,485345,1,0.0,0.22,0,2620863,same unit as product_data_base.price_current
C00079,2023-10-16,Meta,Prospecting,10.88,695,7,3836627,548090,1,0.0,0.31,0,2301976,same unit as product_data_base.price_current
C00080,2024-01-14,Meta,Retargeting,7.21,702,1,318243,318243,1,0.0,0.44,0,190946,same unit as product_data_base.price_current
C00081,2023-08-19,Google,Prospecting,26.16,850,1,154085,154085,1,0.65,0.04,1,92451,same unit as product_data_base.price_current
C00082,2025-10-14,Meta,Prospecting,0.54,63,1,202170,202170,1,0.23,0.29,0,920136,same unit as product_data_base.price_current
C00083,2023-02-10,Direct,Organic,0.0,900,3,1239569,413190,1,0.0,0.44,0,743741,same unit as product_data_base.price_current
C00084,2025-11-17,Meta,Prospecting,14.41,29,1,93199,93199,1,0.2,0.09,1,155329,same unit as product_data_base.price_current
C00085,2023-05-15,Google,Prospecting,9.0,900,1,338333,338333,1,0.0,0.46,0,203000,same unit as product_data_base.price_current
C00086,2023-07-20,Meta,Prospecting,7.15,679,8,3925403,490675,1,0.0,0.19,0,2355242,same unit as product_data_base.price_current
C00087,2025-02-18,Meta,Prospecting,8.47,301,1,170581,170581,1,0.0,0.09,0,102349,same unit as product_data_base.price_current
C00088,2025-07-18,Email,Retargeting,1.49,151,1,285520,285520,1,0.0,0.47,0,514190,same unit as product_data_base.price_current
C00089,2025-11-22,Email,Retargeting,1.06,0,3,2868561,956187,1,0.17,0.53,0,6505417,same unit as product_data_base.price_current
C00090,2024-05-17,Meta,Prospecting,11.13,535,4,2107335,526834,1,0.14,0.3,0,1264401,same unit as product_data_base.price_current
C00091,2024-02-11,Meta,Prospecting,19.41,534,3,1378248,459416,1,0.0,0.27,0,826949,same unit as product_data_base.price_current
C00092,2025-03-15,Meta,Prospecting,16.52,155,14,5548191,396299,1,0.0,0.27,3,3328915,same unit as product_data_base.price_current
C00093,2023-04-09,Direct,Organic,0.0,867,4,912285,228071,1,0.34,0.44,2,547371,same unit as product_data_base.price_current
C00094,2024-11-14,Google,Prospecting,35.73,338,3,485740,161913,1,0.16,0.28,1,291444,same unit as product_data_base.price_current
C00095,2024-12-26,Meta,Prospecting,14.72,210,6,2187062,364510,1,0.34,0.43,0,1312237,same unit as product_data_base.price_current
C00096,2025-08-18,Google,Prospecting,20.9,29,5,1958361,391672,1,0.0,0.34,1,13530551,same unit as product_data_base.price_current
C00097,2024-09-04,Email,Retargeting,2.89,330,14,8706386,621885,1,0.0,0.5,0,5223832,same unit as product_data_base.price_current
C00098,2024-10-04,Direct,Organic,0.0,438,1,323000,323000,1,0.09,0.21,0,193800,same unit as product_data_base.price_current
C00099,2025-10-25,Direct,Organic,0.0,23,3,1986021,662007,1,0.26,0.42,1,4658370,same unit as product_data_base.price_current
C00100,2024-05-17,Meta,Prospecting,6.5,578,1,71025,71025,1,0.21,0.26,0,42615,same unit as product_data_base.price_current
C00101,2025-02-05,Meta,Prospecting,21.01,314,1,912827,912827,1,0.0,0.28,0,547696,same unit as product_data_base.price_current
C00102,2024-02-02,Meta,Prospecting,7.72,501,4,1640970,410242,1,0.09,0.22,0,984582,same unit as product_data_base.price_current
C00103,2025-05-20,Direct,Organic,0.0,210,1,213284,213284,1,0.28,0.39,0,139060,same unit as product_data_base.price_current
C00104,2025-03-05,Affiliate,Prospecting,9.08,286,1,222170,222170,1,0.13,0.15,0,133302,same unit as product_data_base.price_current
C00105,2024-01-28,Google,Prospecting,23.1,608,2,614243,307121,1,0.0,0.22,0,368546,same unit as product_data_base.price_current
C00106,2023-07-26,Meta,Prospecting,1.9,811,4,1052576,263144,1,0.0,0.23,1,631546,same unit as product_data_base.price_current
C00107,2025-11-04,Google,Prospecting,13.79,13,14,5353736,382410,1,0.0,0.14,0,32329219,same unit as product_data_base.price_current
C00108,2025-06-10,Meta,Retargeting,5.95,189,1,496435,496435,1,0.12,0.41,1,394627,same unit as product_data_base.price_current
C00109,2025-05-13,Meta,Prospecting,6.58,125,6,3557846,592974,1,0.0,0.39,0,9900673,same unit as product_data_base.price_current
C00110,2025-01-12,Google,Prospecting,18.69,253,5,1481348,296270,1,0.0,0.15,0,888809,same unit as product_data_base.price_current
C00111,2024-07-17,Meta,Retargeting,11.24,285,15,7469030,497935,1,0.0,0.46,2,4481418,same unit as product_data_base.price_current
C00112,2025-10-17,Meta,Prospecting,7.48,27,8,4001840,500230,1,0.1,0.34,1,12905076,same unit as product_data_base.price_current
C00113,2023-04-06,Email,Retargeting,2.79,900,1,562251,562251,1,0.0,0.38,0,337351,same unit as product_data_base.price_current
C00114,2024-04-29,Meta,Retargeting,7.62,524,3,1452577,484192,1,0.12,0.13,1,871546,same unit as product_data_base.price_current
C00115,2023-08-19,Meta,Prospecting,5.17,850,1,1120843,1120843,1,0.0,0.3,0,672506,same unit as product_data_base.price_current
C00116,2025-01-18,Meta,Prospecting,10.8,332,1,129113,129113,1,0.0,0.57,0,77468,same unit as product_data_base.price_current
C00117,2024-06-24,Direct,Organic,0.0,434,4,1685622,421406,1,0.0,0.2,0,1011373,same unit as product_data_base.price_current
C00118,2025-11-25,Direct,Organic,0.0,7,9,4736260,526251,1,0.0,0.35,1,25746750,same unit as product_data_base.price_current
C00119,2024-06-08,Meta,Prospecting,14.86,556,1,946857,946857,1,0.0,0.29,0,568114,same unit as product_data_base.price_current
C00120,2024-07-31,Google,Retargeting,12.73,417,5,3525658,705132,1,0.0,0.24,0,2115395,same unit as product_data_base.price_current
C00121,2024-11-12,Meta,Prospecting,18.11,399,1,599964,599964,1,0.0,0.5,0,359978,same unit as product_data_base.price_current
C00122,2024-07-10,Email,Retargeting,1.29,524,1,245084,245084,1,0.0,0.51,0,147050,same unit as product_data_base.price_current
C00123,2025-10-09,Email,Retargeting,2.16,68,1,1351855,1351855,1,0.0,0.59,0,6242485,same unit as product_data_base.price_current
C00124,2024-10-07,Direct,Organic,0.0,366,5,4957905,991581,1,0.16,0.44,0,2974743,same unit as product_data_base.price_current
C00125,2025-03-06,Google,Prospecting,0.5,168,14,6761916,482994,1,0.01,0.32,0,17343666,same unit as product_data_base.price_current
C00126,2025-11-17,Affiliate,Prospecting,10.36,29,1,871126,871126,1,0.0,0.42,0,3906061,same unit as product_data_base.price_current
C00127,2023-07-09,Affiliate,Prospecting,5.35,679,9,2616576,290731,1,0.0,0.38,0,1569945,same unit as product_data_base.price_current
C00128,2024-09-24,Direct,Organic,0.0,327,4,2060253,515063,1,0.0,0.27,0,1236152,same unit as product_data_base.price_current
C00129,2024-09-19,Google,Prospecting,8.96,258,5,1525744,305149,1,0.18,0.19,0,915446,same unit as product_data_base.price_current
C00130,2025-08-30,Google,Prospecting,14.15,16,7,2872259,410323,1,0.0,0.28,0,19457198,same unit as product_data_base.price_current
C00131,2024-12-10,Google,Prospecting,7.63,210,3,1462282,487427,1,0.16,0.18,1,877369,same unit as product_data_base.price_current
C00132,2024-10-10,Meta,Prospecting,12.12,259,5,1935920,387184,1,0.1,0.45,0,1161552,same unit as product_data_base.price_current
C00133,2023-11-14,Meta,Retargeting,9.31,763,1,1248774,1248774,1,0.0,0.33,0,749264,same unit as product_data_base.price_current
C00134,2024-11-14,Email,Retargeting,0.26,397,1,1000505,1000505,1,0.21,0.45,0,600303,same unit as product_data_base.price_current
C00135,2024-10-25,Google,Prospecting,15.85,417,1,954291,954291,1,0.35,0.32,1,572574,same unit as product_data_base.price_current
C00136,2024-03-17,Direct,Organic,0.0,443,3,1449637,483212,1,0.0,0.37,1,869782,same unit as product_data_base.price_current
C00137,2024-07-17,Meta,Retargeting,5.68,448,5,1957628,391526,1,0.15,0.22,1,1174577,same unit as product_data_base.price_current
C00138,2025-08-09,Meta,Prospecting,16.42,129,1,46477,46477,1,0.0,0.55,0,38671,same unit as product_data_base.price_current
C00139,2024-11-29,Direct,Organic,0.0,382,1,1543860,1543860,1,0.0,0.46,0,926316,same unit as product_data_base.price_current
C00140,2023-04-23,Meta,Prospecting,12.18,860,6,2257212,376202,1,0.0,0.34,0,1354327,same unit as product_data_base.price_current
C00141,2023-01-02,Meta,Prospecting,19.03,900,11,5447668,495243,1,0.0,0.62,1,3268601,same unit as product_data_base.price_current
C00142,2024-10-03,Affiliate,Prospecting,11.76,272,7,2817268,402467,1,0.0,0.22,0,1690361,same unit as product_data_base.price_current
C00143,2023-08-08,Direct,Organic,0.0,714,4,2333676,583419,1,0.21,0.44,0,1400206,same unit as product_data_base.price_current
C00144,2025-05-04,Google,Prospecting,23.6,226,1,703307,703307,1,0.0,0.4,0,421984,same unit as product_data_base.price_current
C00145,2024-01-20,Direct,Organic,0.0,629,7,3359955,479994,1,0.0,0.33,0,2015973,same unit as product_data_base.price_current
C00146,2024-12-30,Email,Retargeting,1.26,216,3,1738439,579480,1,0.0,0.42,0,1043064,same unit as product_data_base.price_current
C00147,2023-09-04,Direct,Organic,0.0,672,6,3391295,565216,1,0.44,0.43,2,2034777,same unit as product_data_base.price_current
C00148,2025-04-15,Direct,Organic,0.0,157,11,6665303,605937,1,0.0,0.3,0,11220448,same unit as product_data_base.price_current
C00149,2023-07-22,Meta,Prospecting,24.97,878,1,238984,238984,1,0.0,0.33,0,143390,same unit as product_data_base.price_current
C00150,2023-05-03,Google,Prospecting,8.33,875,14,5332527,380895,1,0.41,0.15,4,3199516,same unit as product_data_base.price_current
C00151,2024-02-05,Meta,Prospecting,17.64,596,6,3007935,501322,1,0.11,0.33,2,1804761,same unit as product_data_base.price_current
C00152,2025-02-05,Meta,Prospecting,20.27,133,4,1517834,379458,1,0.62,0.2,2,1160680,same unit as product_data_base.price_current
C00153,2023-10-21,Direct,Organic,0.0,787,1,149259,149259,1,0.28,0.68,0,89555,same unit as product_data_base.price_current
C00154,2023-10-07,Google,Prospecting,30.99,720,4,2155015,538754,1,0.05,0.25,0,1293009,same unit as product_data_base.price_current
C00155,2025-06-02,Email,Retargeting,2.66,99,8,5888216,736027,1,0.66,0.45,1,14408852,same unit as product_data_base.price_current
C00156,2023-07-17,Direct,Organic,0.0,883,1,479991,479991,1,0.0,0.46,0,287994,same unit as product_data_base.price_current
C00157,2025-09-08,Affiliate,Prospecting,5.41,99,1,244172,244172,1,0.0,0.13,0,446712,same unit as product_data_base.price_current
C00158,2025-01-21,Direct,Organic,0.0,329,1,240377,240377,1,0.15,0.45,0,144226,same unit as product_data_base.price_current
C00159,2023-05-24,Google,Prospecting,22.86,752,9,3937553,437506,1,0.16,0.3,0,2362532,same unit as product_data_base.price_current
C00160,2024-08-31,Meta,Prospecting,12.57,256,9,6532221,725802,1,0.59,0.18,1,3919333,same unit as product_data_base.price_current
C00161,2023-07-06,Meta,Prospecting,19.99,894,1,744139,744139,1,0.16,0.45,0,446483,same unit as product_data_base.price_current
C00162,2024-04-08,Google,Prospecting,17.79,617,1,322129,322129,1,0.0,0.2,0,193278,same unit as product_data_base.price_current
C00163,2024-10-21,Google,Prospecting,26.44,286,4,1796282,449071,1,0.0,0.35,2,1077769,same unit as product_data_base.price_current
C00164,2025-02-02,Google,Retargeting,7.32,317,1,407307,407307,1,0.11,0.29,0,244384,same unit as product_data_base.price_current
C00165,2025-08-12,Email,Retargeting,2.6,6,7,2446079,349440,1,0.0,0.55,0,8030176,same unit as product_data_base.price_current
C00166,2024-02-07,Affiliate,Prospecting,5.84,678,1,760512,760512,1,0.0,0.32,0,456307,same unit as product_data_base.price_current
C00167,2023-05-27,Email,Retargeting,2.8,828,9,2924676,324964,1,0.0,0.44,0,1754805,same unit as product_data_base.price_current
C00168,2025-05-13,Email,Retargeting,0.13,59,5,3894375,778875,1,0.05,0.47,0,16503579,same unit as product_data_base.price_current
C00169,2024-05-03,Meta,Prospecting,17.62,529,8,6770935,846367,1,0.05,0.46,0,4062561,same unit as product_data_base.price_current
C00170,2025-07-17,Meta,Retargeting,7.3,152,1,1134321,1134321,1,0.0,0.52,0,3109144,same unit as product_data_base.price_current
C00171,2024-07-04,Meta,Prospecting,14.29,393,3,617283,205761,1,0.15,0.2,0,370370,same unit as product_data_base.price_current
C00172,2023-12-04,Direct,Organic,0.0,614,4,855874,213969,1,0.13,0.38,0,513524,same unit as product_data_base.price_current
C00173,2025-05-21,Meta,Prospecting,0.5,197,2,611882,305941,1,0.15,0.43,0,367129,same unit as product_data_base.price_current
C00174,2024-10-02,Email,Retargeting,1.46,440,1,1422083,1422083,1,0.0,0.5,0,853250,same unit as product_data_base.price_current
C00175,2024-04-17,Google,Prospecting,24.88,435,3,1007198,335733,1,0.19,0.24,0,604319,same unit as product_data_base.price_current
C00176,2023-05-31,Meta,Prospecting,8.34,900,1,445895,445895,1,0.0,0.5,0,267537,same unit as product_data_base.price_current
C00177,2023-09-20,Meta,Prospecting,4.59,818,1,1181727,1181727,1,0.0,0.38,0,709036,same unit as product_data_base.price_current
C00178,2023-05-24,Google,Prospecting,8.93,748,11,5414395,492218,1,0.0,0.18,0,3248637,same unit as product_data_base.price_current
C00179,2023-12-12,Google,Retargeting,11.39,678,8,3945473,493184,1,0.19,0.24,0,2367284,same unit as product_data_base.price_current
C00180,2024-09-15,Direct,Organic,0.0,457,1,1247045,1247045,1,0.32,0.57,0,748227,same unit as product_data_base.price_current
C00181,2025-10-13,Email,Retargeting,2.22,15,11,7122835,647530,1,0.06,0.39,0,48456101,same unit as product_data_base.price_current
C00182,2025-05-30,Google,Prospecting,26.42,200,1,292495,292495,1,0.0,0.41,0,203845,same unit as product_data_base.price_current
C00183,2023-01-02,Direct,Organic,0.0,900,15,8732378,582159,1,0.13,0.66,2,5239427,same unit as product_data_base.price_current
C00184,2025-06-15,Google,Prospecting,21.33,29,16,7893107,493319,1,0.0,0.45,2,63384670,same unit as product_data_base.price_current
C00185,2023-09-11,Affiliate,Prospecting,5.09,606,8,2764896,345612,1,0.0,0.29,0,1658938,same unit as product_data_base.price_current
C00186,2024-03-28,Meta,Prospecting,24.35,628,1,602554,602554,1,0.0,0.54,0,361532,same unit as product_data_base.price_current
C00187,2025-11-26,Email,Retargeting,1.36,12,11,2861942,260177,1,0.0,0.45,0,14129063,same unit as product_data_base.price_current
C00188,2025-10-11,Google,Prospecting,10.67,5,3,1024598,341533,1,0.24,0.26,0,6569058,same unit as product_data_base.price_current
C00189,2023-01-09,Meta,Retargeting,6.95,900,1,192248,192248,1,0.0,0.45,0,115349,same unit as product_data_base.price_current
C00190,2025-03-26,Meta,Prospecting,15.88,265,1,261457,261457,1,0.0,0.27,0,156874,same unit as product_data_base.price_current
C00191,2023-07-27,Google,Prospecting,22.3,873,1,212113,212113,1,0.0,0.42,0,127268,same unit as product_data_base.price_current
C00192,2024-02-08,Meta,Prospecting,11.36,677,1,203299,203299,1,0.0,0.4,0,121979,same unit as product_data_base.price_current
C00193,2023-06-01,Meta,Retargeting,10.42,900,1,340637,340637,1,0.0,0.4,0,204382,same unit as product_data_base.price_current
C00194,2023-02-23,Affiliate,Prospecting,5.73,900,1,107819,107819,1,0.0,0.5,0,64692,same unit as product_data_base.price_current
C00195,2024-09-19,Direct,Organic,0.0,307,17,8049776,473516,1,0.0,0.36,1,4829866,same unit as product_data_base.price_current
C00196,2024-08-09,Email,Retargeting,0.97,494,1,989349,989349,1,0.27,0.42,0,593609,same unit as product_data_base.price_current
C00197,2023-04-14,Direct,Organic,0.0,900,3,1507710,502570,1,0.0,0.64,0,904626,same unit as product_data_base.price_current
C00198,2023-09-11,Affiliate,Prospecting,1.81,827,1,392584,392584,1,0.0,0.5,0,235551,same unit as product_data_base.price_current
C00199,2024-05-24,Google,Prospecting,14.8,420,14,4699759,335697,1,0.0,0.48,1,2819855,same unit as product_data_base.price_current
C00200,2023-04-09,Meta,Retargeting,8.69,900,2,606649,303325,1,0.11,0.36,1,363990,same unit as product_data_base.price_current
C00201,2023-06-02,Direct,Organic,0.0,760,5,2194242,438848,1,0.0,0.34,0,1316545,same unit as product_data_base.price_current
C00202,2025-07-02,Email,Retargeting,2.42,46,3,552758,184253,1,0.0,0.51,0,1301774,same unit as product_data_base.price_current
C00203,2025-05-27,Google,Prospecting,18.58,128,4,2162944,540736,1,0.13,0.5,0,6943763,same unit as product_data_base.price_current
C00204,2023-12-04,Google,Retargeting,5.53,661,6,2260728,376788,1,0.0,0.27,0,1356437,same unit as product_data_base.price_current
C00205,2025-04-01,Google,Retargeting,11.54,259,1,857640,857640,1,0.0,0.47,0,514584,same unit as product_data_base.price_current
C00206,2025-08-14,Direct,Organic,0.0,42,11,6137236,557931,1,0.27,0.39,1,19010247,same unit as product_data_base.price_current
C00207,2023-06-10,Meta,Prospecting,13.79,900,1,177812,177812,1,0.0,0.3,0,106687,same unit as product_data_base.price_current
C00208,2025-03-11,Affiliate,Prospecting,8.83,280,1,583724,583724,1,0.0,0.22,0,350234,same unit as product_data_base.price_current
C00209,2024-02-02,Direct,Organic,0.0,683,1,508310,508310,1,0.29,0.33,0,304986,same unit as product_data_base.price_current
C00210,2025-03-26,Google,Prospecting,8.13,265,1,590157,590157,1,0.08,0.32,1,354094,same unit as product_data_base.price_current
C00211,2024-02-05,Google,Prospecting,3.31,680,1,70339,70339,1,0.0,0.29,0,42204,same unit as product_data_base.price_current
C00212,2024-10-01,Google,Prospecting,22.38,349,2,714550,357275,1,0.1,0.08,0,428730,same unit as product_data_base.price_current
C00213,2025-11-22,Meta,Retargeting,13.7,6,3,1400875,466958,1,0.0,0.36,1,15188381,same unit as product_data_base.price_current
C00214,2024-11-18,Meta,Prospecting,15.95,272,3,2521228,840409,1,0.0,0.31,1,1512737,same unit as product_data_base.price_current
