customer_id,snapshot_date,skin_type,preferred_category,primary_purchase_channel,device_type,traffic_source,price_sensitivity_score,customer_tenure_days,promotion_period_flag,orders_30d,orders_90d,spend_30d,spend_90d,avg_order_value_90d,sessions_30d,product_views_30d,add_to_cart_30d,checkout_start_30d,days_since_last_purchase,orders_30d_vs_prev30d,spend_30d_vs_prev30d,cart_to_checkout_rate,checkout_to_purchase_rate,discount_dependency,email_open_rate_30d,push_open_rate_30d,coupon_used_90d,returns_90d,refund_ratio_90d,complaints_90d,avg_rating_90d,engagement_score_30d,experience_risk_score,will_churn_90d
C03609,2025-11-28,normal,skincare,online,mobile,facebook,0.1,585,0,0,1,0,393682,393682,14,34,5,1,66,0.0,-1.0,0.2,0.0,0.203,0.184,0.354,1,0,0.0,0,4.3,6.92,0.0,0
C00763,2025-06-05,normal,haircare,store,desktop,organic,0.424,541,0,0,0,0,0,0,4,19,0,0,125,0.0,-1.0,0.0,0.0,0.452,0.087,0.171,1,0,0.0,0,4.7,2.17,0.0,1
C01135,2025-11-19,sensitive,makeup,marketplace,mobile,google_ads,0.237,863,1,1,2,474274,889974,444987,18,64,7,3,37,1.0,0.502,0.429,0.333,0.337,0.403,0.311,0,1,0.5,0,4.2,9.54,0.3,0
C02424,2025-04-07,combination,skincare,online,mobile,facebook,0.322,961,0,0,2,0,1011234,505617,16,58,7,2,18,0.0,0.0,0.286,0.0,0.279,0.357,0.396,1,0,0.0,0,4.3,8.56,0.0,0
C04264,2025-02-15,dry,makeup,online,mobile,organic,0.047,941,1,1,1,273884,333043,333043,13,31,6,1,62,1.0,0.266,0.167,1.0,0.206,0.448,0.336,1,0,0.0,0,4.8,6.49,0.0,0
C00134,2025-09-16,dry,bodycare,store,desktop,organic,0.278,437,0,0,0,0,0,0,11,40,4,0,95,-0.5,0.0,0.0,0.0,0.389,0.273,0.319,1,0,0.0,0,4.5,5.84,0.0,1
C02246,2025-08-06,normal,sun_care,online,tablet,facebook,0.796,428,0,1,2,142262,484993,242496,5,17,2,1,77,-0.5,142262.0,0.5,1.0,0.604,0.154,0.093,1,1,0.5,0,3.7,2.63,0.3,1
C03503,2025-11-20,normal,fragrance,online,mobile,organic,0.132,30,1,0,0,0,0,0,2,11,1,0,93,0.0,0.0,0.0,0.0,0.255,0.051,0.103,0,0,0.0,0,3.8,1.19,0.0,0
C00012,2025-12-20,sensitive,skincare,store,tablet,google_ads,0.557,344,1,0,0,0,0,0,9,22,2,0,117,-0.5,-1.0,0.0,0.0,0.52,0.244,0.133,0,0,0.0,0,4.2,4.38,0.0,1
C00285,2025-12-15,normal,bodycare,social,desktop,facebook,0.457,1359,1,4,7,1072314,2252280,321754,22,73,7,5,0,0.0,0.125,0.714,0.8,0.424,0.656,0.438,1,1,0.143,0,4.1,11.41,0.086,1
C04043,2025-08-11,combination,bodycare,social,mobile,google_ads,0.212,870,1,0,1,0,283636,283636,11,30,1,0,45,0.0,0.0,0.0,0.0,0.377,0.441,0.396,1,1,1.0,0,3.0,5.36,0.6,0
C02466,2025-02-03,combination,makeup,store,mobile,organic,0.279,1165,0,0,0,0,0,0,24,61,10,2,95,0.0,0.0,0.2,0.0,0.393,0.352,0.301,1,0,0.0,0,4.7,12.03,0.0,1
C03071,2025-12-14,dry,makeup,online,mobile,organic,0.386,989,1,0,0,0,0,0,9,46,3,0,116,0.0,-1.0,0.0,0.0,0.391,0.401,0.302,0,0,0.0,0,3.7,5.16,0.0,0
C01933,2025-06-01,normal,sun_care,online,desktop,referral,0.595,854,0,0,0,0,0,0,16,45,4,2,110,0.0,0.0,0.5,0.0,0.492,0.298,0.198,1,0,0.0,0,4.7,7.99,0.0,0
C01805,2025-11-18,combination,makeup,store,mobile,facebook,0.103,446,1,0,0,0,0,0,4,29,4,0,115,-0.667,0.0,0.0,0.0,0.281,0.168,0.163,0,0,0.0,0,4.5,2.71,0.0,0
C04487,2025-10-02,normal,haircare,store,mobile,facebook,0.38,892,0,0,0,0,0,0,14,27,2,1,120,-0.5,0.0,0.5,0.0,0.369,0.247,0.2,1,0,0.0,0,4.2,6.53,0.0,1
C01000,2025-12-15,dry,fragrance,online,mobile,organic,0.106,1023,1,2,4,829603,2129634,532408,9,50,6,2,0,0.5,-0.113,0.333,1.0,0.241,0.395,0.312,0,1,0.25,0,4.4,5.46,0.15,0
C03985,2025-01-18,dry,makeup,social,mobile,tiktok,0.296,787,1,1,2,363364,785572,392786,11,52,6,2,8,-0.333,-0.45,0.333,0.5,0.369,0.331,0.39,2,0,0.0,0,4.3,6.32,0.0,1
C03226,2025-12-13,dry,makeup,online,desktop,facebook,0.336,357,0,1,1,238074,304020,304020,6,34,3,2,82,-0.5,-0.162,0.667,0.5,0.381,0.056,0.0,1,0,0.0,0,4.7,3.6,0.0,1
C00654,2025-05-02,sensitive,sun_care,online,desktop,organic,0.103,471,1,0,2,0,550048,275024,5,14,2,0,49,0.0,-1.0,0.0,0.0,0.353,0.292,0.246,0,0,0.0,0,4.8,2.54,0.0,1
C01090,2025-09-29,oily,bodycare,store,mobile,organic,0.34,384,1,2,4,429212,945509,236377,8,45,3,3,0,-0.25,-0.386,1.0,0.667,0.397,0.286,0.33,1,0,0.0,0,4.2,4.73,0.0,1
C00086,2025-01-24,normal,skincare,marketplace,desktop,facebook,0.518,826,1,0,0,0,0,0,15,68,4,1,122,-0.667,-1.0,0.25,0.0,0.492,0.221,0.339,0,0,0.0,0,5.0,8.28,0.0,1
C00176,2025-09-28,sensitive,makeup,store,mobile,organic,0.636,1073,0,1,3,243315,666481,222160,12,46,5,2,10,1.0,4.295,0.4,0.5,0.582,0.345,0.417,1,0,0.0,0,4.0,6.48,0.0,0
C01859,2025-11-09,normal,sun_care,online,mobile,organic,0.092,1218,0,1,5,326996,1813507,362701,13,45,7,3,0,0.0,0.643,0.429,0.333,0.275,0.354,0.363,0,0,0.0,0,4.2,6.97,0.0,0
C02115,2025-05-14,combination,fragrance,marketplace,mobile,google_ads,0.183,915,1,0,1,0,921477,921477,7,27,5,1,97,0.0,0.0,0.2,0.0,0.274,0.326,0.32,1,0,0.0,0,4.2,3.91,0.0,1
C00730,2025-01-17,oily,bodycare,store,mobile,tiktok,0.352,409,0,0,0,0,0,0,12,32,6,1,92,0.0,-1.0,0.167,0.0,0.407,0.039,0.144,1,0,0.0,1,4.0,6.12,0.4,1
C00010,2025-02-12,sensitive,fragrance,social,mobile,referral,0.723,559,0,0,1,0,596627,596627,11,38,1,0,77,0.0,-1.0,0.0,0.0,0.516,0.267,0.309,0,0,0.0,0,4.3,5.6,0.0,1
C03007,2025-05-09,dry,skincare,online,desktop,google_ads,0.248,647,0,1,2,270807,781685,390842,13,48,7,5,84,0.0,0.586,0.714,0.2,0.318,0.491,0.31,0,0,0.0,0,4.3,7.06,0.0,0
C04399,2025-07-27,sensitive,makeup,store,mobile,organic,0.108,730,0,4,4,1316187,1515748,378937,16,54,11,7,0,0.25,-0.109,0.636,0.571,0.195,0.409,0.314,0,0,0.0,0,4.7,8.68,0.0,0
C00622,2025-06-24,oily,haircare,social,mobile,tiktok,0.307,400,1,0,0,0,0,0,10,40,5,1,129,0.0,0.0,0.2,0.0,0.319,0.222,0.216,1,0,0.0,0,4.1,5.5,0.0,0
C02926,2025-04-02,sensitive,haircare,online,mobile,organic,0.37,505,0,0,2,0,592393,296196,1,4,0,0,29,-0.5,-1.0,0.0,0.0,0.368,0.091,0.09,1,0,0.0,0,4.6,0.52,0.0,1
C04498,2025-09-01,dry,bodycare,online,mobile,tiktok,0.213,716,1,0,0,0,0,0,10,44,4,1,87,-0.667,-1.0,0.25,0.0,0.32,0.292,0.219,0,0,0.0,0,4.4,5.56,0.0,1
C01146,2025-01-12,dry,fragrance,online,mobile,facebook,0.567,1380,0,1,3,620080,2309403,769801,7,64,6,2,30,-0.5,-0.231,0.333,0.5,0.412,0.398,0.285,1,0,0.0,0,4.7,5.08,0.0,0
C03071,2025-09-21,dry,makeup,online,mobile,facebook,0.386,845,1,1,1,361534,461561,461561,10,33,2,1,48,0.0,1.849,0.5,1.0,0.324,0.376,0.182,0,0,0.0,0,5.0,5.11,0.0,0
C02430,2025-10-08,dry,fragrance,online,desktop,email,0.42,1056,0,0,1,0,714039,714039,17,40,5,0,33,0.0,0.0,0.0,0.0,0.389,0.388,0.183,0,0,0.0,0,3.5,8.3,0.0,1
C00785,2025-03-03,combination,bodycare,store,mobile,email,0.59,1095,1,0,0,0,0,0,6,34,1,1,99,0.0,-1.0,1.0,0.0,0.539,0.198,0.17,1,0,0.0,0,4.7,3.48,0.0,0
C02407,2025-01-03,dry,haircare,online,mobile,google_ads,0.096,1130,1,1,1,248765,325513,325513,9,39,4,2,57,-0.333,-0.541,0.5,0.5,0.314,0.487,0.576,0,0,0.0,0,5.0,5.01,0.0,0
C00166,2025-03-30,normal,skincare,social,mobile,organic,0.409,92,1,0,0,0,0,0,10,33,1,0,127,0.0,0.0,0.0,0.0,0.448,0.009,0.047,1,0,0.0,0,4.2,5.05,0.0,1
C02137,2025-06-01,combination,haircare,store,desktop,google_ads,0.361,802,0,1,3,367376,980671,326890,23,65,7,2,9,-0.5,0.903,0.286,0.5,0.502,0.318,0.406,1,0,0.0,0,4.8,11.57,0.0,1
C02132,2025-12-15,sensitive,skincare,online,mobile,email,0.49,794,1,0,0,0,0,0,7,28,6,1,91,0.0,-1.0,0.167,0.0,0.422,0.057,0.268,1,0,0.0,0,4.3,4.0,0.0,1
C01033,2025-09-06,combination,skincare,online,mobile,email,0.359,587,0,0,1,0,406210,406210,11,46,4,0,102,0.0,-1.0,0.0,0.0,0.438,0.365,0.085,1,0,0.0,0,4.0,6.02,0.0,0
C04047,2025-05-06,sensitive,fragrance,social,mobile,tiktok,0.365,947,0,0,0,0,0,0,15,40,7,3,84,-0.5,-1.0,0.429,0.0,0.399,0.333,0.387,0,0,0.0,0,4.0,7.62,0.0,1
C01976,2025-03-12,oily,fragrance,online,desktop,tiktok,0.218,764,0,0,0,0,0,0,8,43,4,0,99,0.0,-1.0,0.0,0.0,0.248,0.265,0.451,0,0,0.0,0,4.8,4.73,0.0,1
C04190,2025-08-03,combination,bodycare,store,tablet,facebook,0.31,622,0,0,0,0,0,0,17,33,4,3,103,0.0,-1.0,0.75,0.0,0.431,0.174,0.488,1,0,0.0,0,5.0,8.03,0.0,0
C00430,2025-09-25,normal,skincare,social,mobile,organic,0.845,837,0,0,2,0,1003123,501561,5,10,1,0,46,-0.667,0.0,0.0,0.0,0.686,0.12,0.101,0,0,0.0,0,3.6,2.36,0.0,1
C02899,2025-01-17,combination,fragrance,online,mobile,referral,0.1,446,1,0,1,0,792318,792318,8,43,3,1,88,-0.667,-1.0,0.333,0.0,0.307,0.405,0.344,0,0,0.0,0,4.0,4.67,0.0,1
C02659,2025-10-29,normal,skincare,online,desktop,organic,0.393,737,1,1,3,229441,987317,329105,15,71,4,2,42,1.0,0.706,0.5,0.5,0.401,0.414,0.28,0,0,0.0,0,5.0,8.37,0.0,0
C02128,2025-12-01,normal,sun_care,online,mobile,tiktok,0.231,991,0,2,4,683373,1392957,348239,11,83,10,3,0,0.5,0.3,0.3,0.667,0.398,0.454,0.465,1,0,0.0,0,3.8,7.49,0.0,0
C03840,2025-08-07,dry,fragrance,store,desktop,google_ads,0.883,779,0,0,1,0,686634,686634,19,47,4,0,78,-0.667,0.0,0.0,0.0,0.702,0.315,0.392,1,0,0.0,0,4.3,9.25,0.0,1
C00334,2025-07-24,dry,sun_care,online,mobile,organic,0.22,1159,1,2,3,586476,827792,275930,9,24,4,3,7,0.0,-0.193,0.75,0.667,0.362,0.415,0.313,0,0,0.0,0,5.0,4.56,0.0,0
C03762,2025-10-05,sensitive,fragrance,social,mobile,email,0.538,997,0,0,4,0,2813000,703250,11,39,2,1,0,-0.667,0.0,0.5,0.0,0.51,0.508,0.31,1,1,0.25,0,3.9,5.69,0.15,1
C00747,2025-03-29,normal,sun_care,online,mobile,tiktok,0.388,620,0,1,2,372395,579802,289901,9,53,2,1,71,1.0,0.88,0.5,1.0,0.381,0.222,0.238,0,1,0.5,0,3.7,5.31,0.3,1
C00373,2025-05-27,oily,skincare,social,tablet,tiktok,0.213,30,0,0,1,0,346707,346707,6,25,2,0,116,0.0,0.0,0.0,0.0,0.382,0.155,0.116,1,0,0.0,0,4.4,3.27,0.0,1
C03610,2025-05-28,sensitive,skincare,online,mobile,facebook,0.68,526,0,0,0,0,0,0,2,14,1,1,139,-0.5,0.0,1.0,0.0,0.557,0.0,0.033,0,0,0.0,0,4.6,1.28,0.0,1
C02450,2025-07-28,oily,fragrance,online,mobile,google_ads,0.478,75,0,0,0,0,0,0,5,23,2,0,181,-0.667,-1.0,0.0,0.0,0.42,0.209,0.023,1,0,0.0,0,4.1,2.81,0.0,1
C01064,2025-11-12,oily,haircare,store,mobile,google_ads,0.276,283,0,0,1,0,211658,211658,9,35,1,0,54,0.0,-1.0,0.0,0.0,0.338,0.415,0.254,0,0,0.0,0,4.0,4.71,0.0,1
C02208,2025-04-29,combination,haircare,online,desktop,organic,0.056,1045,1,5,6,2038184,2679528,446588,16,63,13,7,0,-0.25,-0.03,0.538,0.714,0.269,0.573,0.439,3,0,0.0,0,5.0,9.07,0.0,0
C03283,2025-04-29,dry,sun_care,social,mobile,google_ads,0.321,972,0,0,0,0,0,0,5,41,5,1,141,0.0,-1.0,0.2,0.0,0.315,0.456,0.332,0,0,0.0,0,5.0,3.53,0.0,1
C02676,2025-06-28,normal,fragrance,online,mobile,google_ads,0.36,941,1,7,9,4886277,7313096,812566,16,72,12,8,0,0.333,-0.049,0.667,0.875,0.433,0.613,0.468,5,0,0.0,0,4.5,9.28,0.0,0
C03949,2025-05-13,combination,skincare,store,mobile,email,0.108,636,0,3,3,1055464,1079955,359985,11,69,10,4,22,0.333,-0.053,0.4,0.75,0.258,0.377,0.257,0,0,0.0,1,3.4,7.07,0.4,0
C01199,2025-03-07,oily,skincare,marketplace,mobile,tiktok,0.291,445,1,1,1,226140,385617,385617,8,36,9,4,60,1.0,-0.338,0.444,0.25,0.349,0.291,0.258,1,0,0.0,0,4.2,4.82,0.0,1
C00062,2025-03-23,normal,fragrance,online,mobile,email,0.283,681,1,0,0,0,0,0,8,57,9,3,103,0.0,0.0,0.333,0.0,0.27,0.214,0.135,0,0,0.0,1,3.1,5.45,0.4,0
C01819,2025-03-01,oily,sun_care,social,mobile,email,0.356,743,0,0,0,0,0,0,8,27,1,0,78,0.0,-1.0,0.0,0.0,0.478,0.323,0.19,0,0,0.0,0,4.6,4.07,0.0,1
C04314,2025-06-18,oily,makeup,social,mobile,google_ads,0.31,30,0,0,0,0,0,0,1,14,0,0,81,0.0,-1.0,0.0,0.0,0.376,0.157,0.082,1,0,0.0,0,5.0,0.82,0.0,1
C04462,2025-05-28,dry,haircare,store,desktop,referral,0.246,618,0,0,0,0,0,0,29,72,5,0,111,0.0,0.0,0.0,0.0,0.248,0.556,0.255,0,0,0.0,0,3.5,14.06,0.0,0
C03846,2025-10-30,combination,sun_care,online,mobile,referral,0.303,557,0,1,2,372176,710054,355027,7,31,2,1,38,-0.5,-0.23,0.5,1.0,0.35,0.189,0.343,0,0,0.0,0,4.3,3.85,0.0,1
C03993,2025-09-24,combination,bodycare,store,desktop,email,0.46,331,0,0,0,0,0,0,10,17,1,0,77,0.0,0.0,0.0,0.0,0.47,0.214,0.088,0,0,0.0,0,4.5,4.57,0.0,1
C01012,2025-05-05,dry,sun_care,store,mobile,email,0.235,796,0,1,1,209132,298583,298583,14,37,4,3,45,-0.5,-0.069,0.75,0.333,0.318,0.287,0.173,0,0,0.0,1,3.8,6.95,0.4,0
C02136,2025-11-10,dry,fragrance,marketplace,desktop,google_ads,0.204,606,0,2,3,849628,1535170,511723,16,43,6,2,23,0.0,0.304,0.333,1.0,0.294,0.417,0.452,0,0,0.0,0,5.0,8.05,0.0,0
C03162,2025-10-16,sensitive,sun_care,online,mobile,google_ads,0.12,208,0,0,0,0,0,0,7,33,5,1,84,-0.667,0.0,0.2,0.0,0.293,0.216,0.12,0,0,0.0,0,4.9,4.09,0.0,1
C02329,2025-06-07,dry,haircare,online,mobile,referral,0.182,906,1,0,2,0,683520,341760,6,30,5,0,28,-0.5,0.0,0.0,0.0,0.364,0.315,0.298,2,0,0.0,0,3.9,3.6,0.0,1
C02703,2025-01-14,combination,bodycare,online,desktop,facebook,0.459,288,1,0,0,0,0,0,4,12,0,0,108,0.0,0.0,0.0,0.0,0.397,0.168,0.079,0,0,0.0,0,4.1,1.96,0.0,0
C01650,2025-08-13,combination,fragrance,online,desktop,tiktok,0.68,939,0,0,0,0,0,0,11,42,3,1,88,-0.5,0.0,0.333,0.0,0.642,0.179,0.0,1,0,0.0,0,4.8,5.84,0.0,0
C00308,2025-12-03,sensitive,bodycare,online,desktop,organic,0.423,677,0,0,3,0,839742,279914,14,35,2,2,8,-0.667,-1.0,1.0,0.0,0.366,0.147,0.226,1,0,0.0,0,5.0,6.77,0.0,1
C01054,2025-12-22,combination,bodycare,social,mobile,organic,0.431,300,1,0,0,0,0,0,8,27,1,0,94,0.0,-1.0,0.0,0.0,0.351,0.042,0.17,0,0,0.0,0,5.0,4.07,0.0,0
C01908,2025-08-31,sensitive,makeup,store,desktop,email,0.283,760,1,1,1,392237,402975,402975,24,46,5,1,64,1.0,0.029,0.2,1.0,0.342,0.195,0.283,1,0,0.0,0,4.3,11.28,0.0,0
C03245,2025-11-20,combination,haircare,store,mobile,email,0.273,1270,0,0,0,0,0,0,6,43,2,0,70,-0.667,-1.0,0.0,0.0,0.387,0.574,0.391,0,0,0.0,0,5.0,3.81,0.0,0
C02459,2025-05-14,combination,makeup,online,mobile,google_ads,0.58,305,0,0,0,0,0,0,8,29,0,0,91,-0.667,-1.0,0.0,0.0,0.437,0.152,0.238,0,0,0.0,0,4.8,4.07,0.0,1
C02819,2025-09-21,oily,sun_care,store,mobile,organic,0.233,809,1,0,0,0,0,0,5,25,4,0,52,0.0,0.0,0.0,0.0,0.377,0.277,0.169,1,0,0.0,0,4.8,2.99,0.0,0
C00249,2025-11-15,sensitive,bodycare,social,desktop,tiktok,0.098,1263,0,4,6,622087,1502478,250413,21,57,10,7,0,0.0,0.266,0.7,0.571,0.252,0.559,0.612,3,1,0.167,1,3.9,10.71,0.5,0
C01942,2025-11-04,combination,makeup,store,mobile,referral,0.217,1024,1,0,2,0,458956,229478,10,38,5,2,34,-0.5,-1.0,0.4,0.0,0.268,0.525,0.2,1,0,0.0,0,4.7,5.44,0.0,1
C03325,2025-10-27,oily,sun_care,social,mobile,organic,0.898,366,1,0,0,0,0,0,12,19,0,0,87,-0.667,-1.0,0.0,0.0,0.726,0.0,0.109,0,0,0.0,0,4.2,5.37,0.0,0
C01026,2025-04-16,normal,bodycare,social,mobile,tiktok,0.105,816,0,2,3,464626,901265,300421,13,57,6,3,42,2.0,-0.384,0.5,0.667,0.237,0.491,0.42,1,1,0.333,0,3.8,7.27,0.2,0
C01089,2025-06-24,sensitive,sun_care,store,mobile,facebook,0.254,174,1,0,0,0,0,0,5,30,3,2,102,-0.5,-1.0,0.667,0.0,0.292,0.0,0.102,0,0,0.0,0,4.2,3.08,0.0,1
C02284,2025-06-27,combination,sun_care,online,desktop,facebook,0.118,410,1,0,0,0,0,0,3,13,0,0,80,0.0,0.0,0.0,0.0,0.301,0.183,0.09,0,0,0.0,0,4.7,1.59,0.0,0
C02350,2025-06-17,dry,bodycare,online,mobile,referral,0.355,939,1,3,5,810162,1313738,262747,12,45,9,3,0,-0.333,0.283,0.333,1.0,0.374,0.459,0.46,2,0,0.0,0,5.0,6.69,0.0,1
C03180,2025-11-07,dry,sun_care,online,mobile,google_ads,0.339,957,0,0,1,0,335740,335740,13,39,2,1,70,0.0,-1.0,0.5,0.0,0.363,0.518,0.426,0,0,0.0,0,5.0,6.49,0.0,1
