lead_id,source,status_at_snapshot,tags,lead_score,priority,campaign_id,product_interest,assigned_to,created_at,days_since_created,total_interactions,last_interaction_type,base_prob,converted_final,revenue_30d
ld_00323,FacebookAds,new,"['hot-lead', 'mua-lai']",92,high,cmp_591,Son Bóng 3CE Dưỡng Ẩm 32 Peachy Filling - Cam Đào Ngọt 5g,user_07,2025-01-08T15:32:00Z,12,5,chat,0.4036,1,522000
ld_09924,TiktokAds,contacted,[],57,medium,cmp_408,Son Kem Lì Flawsome Mịn Nhẹ Queendom - Đỏ Berry Trầm 3g,user_23,2025-06-12T16:08:00Z,46,2,chat,0.0656,0,0
ld_07460,LandingPage,new,['quan-tam-duong-da'],28,low,cmp_349,Son Tint Lì Mastige Blur Lâu Trôi Màu B4 Hồng Trà 3.8g,,2025-01-04T11:02:00Z,22,2,chat,0.0424,0,0
ld_extra_09025,FacebookAds,nurturing,"['hot-lead', 'vip']",74,high,cmp_823,Son Lì 3CE Mịn Môi Whip Red - Đỏ Mận 4g,user_14,2025-09-22T22:09:00Z,88,1,email,0.3381,0,0
ld_extra_07554,Partner,contacted,"['hot-lead', 'vip']",81,high,,Son Môi Flawsome Falling Again - Hồng Đất (Bản Holiday) 2g,user_28,2025-10-17T18:15:00Z,72,6,message,0.6287,0,0
ld_09120,FacebookAds,contacted,[],34,urgent,,Son Môi Flawsome Good Times - Cam Hồng Đất (Bản Holiday) 2g,,2025-12-04T22:15:00Z,3,0,,0.1272,0,0
ld_extra_06422,Partner,qualified,['hot-lead'],75,medium,,Son Bóng Joocyee Màu 08 Caramel Milk Tea 3.2g,user_19,2025-06-16T06:22:00Z,50,3,call,0.527,1,139000
ld_extra_06061,Partner,nurturing,['mua-lai'],87,high,cmp_287,[HSD 03/2026] Son Môi L'Oreal Mịn Lì 276 Le Leather Liberated - Nâu Gạch 1.7g,user_21,2025-10-28T13:05:00Z,85,2,chat,0.5688,0,0
ld_extra_00121,Partner,contacted,"['vip', 'mua-lai']",75,low,cmp_485,Son Kem Lì Espoir Màu 8 Calm In Mauve 8.5g,user_06,2025-07-16T13:58:00Z,83,4,call,0.5828,0,0
ld_extra_09056,InBound,qualified,['quan-tam-son'],78,high,cmp_824,Combo 2 Son Dưỡng Có Màu Vaseline Hồng Ngọt Ngào 3g,user_03,2025-10-18T05:38:00Z,2,5,email,0.4437,0,0
ld_03650,Partner,nurturing,"['hot-lead', 'mua-lai']",74,urgent,cmp_290,Son Kem Lì Nookoi Mềm Mịn Màu R21 Đỏ Cam 4g,user_01,2025-04-02T02:15:00Z,0,4,call,0.6392,1,158000
ld_03942,Partner,contacted,['quan-tam-duong-da'],66,low,,Son Bóng 3CE Dưỡng Ẩm 32 Peachy Filling - Cam Đào Ngọt 5g,user_04,2025-11-01T16:17:00Z,69,6,email,0.4028,1,261000
ld_extra_07881,Website,new,['hot-lead'],47,medium,cmp_411,Son Lì B.O.M #808 My Warm Red - Đỏ Đất 3.5g,,2025-10-05T02:02:00Z,18,3,chat,0.3358,0,0
ld_extra_06676,Event,new,['quan-tam-duong-da'],24,low,,Son Thỏi 3CE Mềm Môi 08 Hush Red - Đỏ Mâm Xôi 3.5g,user_19,2025-09-20T01:48:00Z,10,0,,0.0919,0,0
ld_extra_02631,Referral,contacted,['mua-lai'],72,urgent,cmp_420,Combo 2 Son Dưỡng LipIce Hiệu Chỉnh Sắc Môi - Hồng Cam + Hồng Đất 2.4g,user_01,2025-08-01T21:32:00Z,75,5,call,0.6891,1,130000
ld_extra_01444,InBound,qualified,"['hot-lead', 'vip']",59,high,cmp_763,[HSD 04/2026] Son Tint Judydoll Căng Bóng Mát Lạnh - 05 Cam Mơ 2.4g,user_16,2025-11-15T18:04:00Z,72,3,call,0.6516,1,285000
ld_extra_02158,LandingPage,new,['quan-tam-duong-da'],43,low,cmp_170,[Mini] Son Kem Lì 3CE Daffodil - Đỏ Đất 1.5g,user_23,2025-12-29T17:54:00Z,16,2,call,0.0882,0,0
ld_extra_03836,InBound,contacted,['mua-lai'],72,urgent,cmp_669,Son Kem Lì Australis Mịn Môi Dreamy - Màu Hồng Sen 4g,user_04,2025-04-22T19:04:00Z,68,3,message,0.4853,0,0
ld_03435,InBound,qualified,['quan-tam-duong-da'],88,urgent,cmp_739,Son Kem L'Oreal Mịn Lì Nhẹ Môi 220 I Wonder - Hồng Đất 7ml,user_20,2025-08-03T12:51:00Z,45,6,email,0.5004,1,210000
ld_extra_08740,InBound,qualified,[],57,high,,Son Kem Bùn Into You Lì Mịn Nhẹ - C3 Hồng Hoa Cà 1.8g,user_12,2025-02-01T08:14:00Z,47,1,email,0.318,1,108000
ld_extra_07408,Partner,new,['hot-lead'],83,urgent,,Mặt Nạ Ngủ Kiêm Son Dưỡng Môi BareSoul Không Màu 10g,user_23,2025-04-28T10:32:00Z,82,3,chat,0.5437,1,109000
ld_extra_05441,FacebookAds,nurturing,"['hot-lead', 'vip']",59,urgent,,Son Kem Lì 3CE Mịn Màng Như Nhung Private - Đỏ Lạnh 4g,,2025-08-07T16:41:00Z,16,1,message,0.3032,1,249000
ld_extra_00407,Website,qualified,['quan-tam-son'],54,urgent,,Son Kem Lì Glamrr Q 01 Glad Day - Đỏ Nâu 5g,user_20,2025-03-09T05:20:00Z,31,3,message,0.5214,1,168000
ld_06518,Website,nurturing,[],52,high,cmp_358,Son Thỏi 3CE Căng Bóng Milky Shadow - Nâu Tự Nhiên 1.7g,user_09,2025-04-24T09:00:00Z,83,2,email,0.1416,0,0
ld_00972,InBound,qualified,['mua-lai'],76,low,,Son Kem Lì 2In1 Silkygirl 04 Pepper Love Màu Đỏ Cherry 3.8ml,,2025-07-23T05:02:00Z,86,5,email,0.5608,1,69000
ld_extra_06488,LandingPage,qualified,[],20,low,cmp_539,[Mini] Combo 4 Nước Tẩy Trang Mắt Môi Maybelline 40ml,user_12,2025-01-12T18:55:00Z,39,0,,0.1395,1,109000
ld_extra_09731,Referral,nurturing,"['hot-lead', 'vip']",81,urgent,,[Mini] Son Kem Lì 3CE Mịn Như Nhung Taupe Đỏ Gạch 1.5g,user_05,2025-08-28T05:04:00Z,9,3,call,0.6975,1,49000
ld_extra_03138,InBound,qualified,"['vip', 'mua-lai']",52,high,cmp_779,Son Dưỡng B.O.M 05 Pure Cherry - Hồng San Hô 4.5g,user_21,2025-01-09T18:08:00Z,67,1,email,0.5257,1,311000
ld_03670,Referral,contacted,['hot-lead'],79,urgent,cmp_529,Son Bóng Menard TK Màu Hồng Mẫu Đơn A130 3.2g,,2025-08-04T21:11:00Z,76,3,email,0.6432,1,625000
ld_extra_05984,Website,nurturing,['mua-lai'],66,high,,[HSD 05/2026] Son Kem Lì 2In1 Silkygirl 02 Tender Rose Màu Hồng Phấn 3.8ml,user_04,2025-11-10T14:47:00Z,70,2,message,0.3845,0,0
ld_04059,Referral,nurturing,"['hot-lead', 'mua-lai']",79,urgent,cmp_422,Son Trang Điểm Flawsome Echo - Đỏ Cherry 3g,user_19,2025-08-21T22:31:00Z,30,3,message,0.6432,1,220000
ld_extra_04977,Referral,nurturing,['quan-tam-son'],95,high,cmp_706,Son Kem Lì Glamrr Q 01 Glad Day - Đỏ Nâu 5g,user_13,2025-06-10T06:38:00Z,50,3,message,0.495,1,168000
ld_extra_05699,Website,contacted,[],95,high,cmp_483,Son Kem Lì 3CE Play Off - Đỏ Cam San Hô 4.6g,user_04,2025-09-29T06:53:00Z,61,3,chat,0.4206,0,0
ld_extra_03830,TiktokAds,new,"['hot-lead', 'mua-lai']",37,low,,Son Bóng Joocyee Màu 06 Dirty Milk Coffee 3.2g,user_11,2025-01-24T16:30:00Z,65,2,call,0.1135,0,0
ld_extra_03420,TiktokAds,nurturing,[],64,urgent,,Son Kem Lì 3CE Chasing Rose - Hồng Kem Sữa 4.6g,user_26,2025-12-31T22:59:00Z,85,0,,0.1743,1,249000
ld_00961,InBound,contacted,['hot-lead'],61,high,cmp_617,Son Kem Lì Flawsome Mịn Nhẹ Xoxo - Hồng Đỏ Đất 3g,,2025-01-02T16:57:00Z,12,3,call,0.6288,1,430000
ld_extra_07745,InBound,nurturing,[],78,medium,cmp_769,Sáp Dưỡng Môi Vaseline Hồng Xinh 7g,user_05,2025-01-26T08:06:00Z,12,1,message,0.3154,1,69000
ld_09865,Partner,qualified,[],57,low,cmp_518,Combo 2 Son Dưỡng Có Màu Vaseline Hồng Ngọt Ngào 3g,,2025-06-21T11:43:00Z,53,0,,0.3156,0,0
ld_extra_01264,InBound,new,['quan-tam-son'],75,high,cmp_127,Dưỡng Môi Đa Năng Pure Paw Paw Từ Đu Đủ Hương Dâu 25g,user_26,2025-11-18T15:00:00Z,9,4,email,0.3702,0,0
ld_extra_05783,Partner,qualified,['mua-lai'],87,urgent,cmp_229,[HSD 05/2026] Son Kem Lì 2In1 Silkygirl 04 Pepper Love Màu Đỏ Cherry 3.8ml,user_18,2025-11-06T17:58:00Z,12,3,chat,0.717,1,112000
ld_extra_07197,Website,nurturing,['vip'],77,medium,cmp_334,Son Dưỡng Có Màu Silkygirl 05 Divine - Đỏ Cà Chua 3.2g,user_09,2025-12-10T05:35:00Z,1,3,message,0.4613,1,249000
ld_07555,Website,qualified,[],59,medium,,Son Kem Black Rouge FV07 1031 - Đỏ Đất 3.5g,user_21,2025-08-30T05:42:00Z,80,1,email,0.0672,0,0
ld_extra_00499,InBound,qualified,"['vip', 'mua-lai']",53,high,cmp_693,[HSD 05/2026] Son Kem Lì 2In1 Silkygirl 04 Pepper Love Màu Đỏ Cherry 3.8ml,user_03,2025-02-02T03:11:00Z,5,3,message,0.5242,0,0
ld_extra_07060,Partner,nurturing,['mua-lai'],81,medium,cmp_179,[HSD 02/2026] Son Kem Lì 2In1 Silkygirl 01 Honey Peach Cam Đào Nude 3.8ml,user_20,2025-05-06T23:03:00Z,18,3,email,0.6144,0,0
ld_extra_07929,InBound,contacted,['quan-tam-son'],42,medium,,Son Kem Lì Black Rouge A28 Mango Tulip - Cam Tulip 4.5g,user_21,2025-03-27T17:10:00Z,52,1,chat,0.2034,0,0
ld_07086,LandingPage,contacted,['quan-tam-duong-da'],39,low,cmp_297,Son Tint Bóng Silkygirl 05 Toffee - Đỏ Cam Đất 3g,user_20,2025-11-19T19:08:00Z,16,3,email,0.1312,0,0
ld_extra_04754,Partner,nurturing,['vip'],60,urgent,cmp_446,Son Lì Australis Mềm Mịn #Editorial - Cam Thuần 3.2g,user_07,2025-05-03T13:03:00Z,86,5,message,0.5,0,0
ld_04520,Event,qualified,['vip'],53,low,cmp_720,Son Kem Lì Cathy Doll #02 Fluffy Pink 3.5 g,user_03,2025-09-27T12:37:00Z,25,2,email,0.2124,1,230000
ld_03025,InBound,nurturing,['mua-lai'],68,high,cmp_595,Son Tint Lì Mastige Blur Lâu Trôi Màu B4 Hồng Trà 3.8g,user_07,2025-11-10T11:18:00Z,9,3,chat,0.6344,1,567000
ld_extra_02122,Partner,qualified,['quan-tam-son'],88,high,,Son Kem Lì 3CE Casual Affair - Hồng Nho 4.6g,user_10,2025-07-31T13:41:00Z,10,2,message,0.4238,1,249000
ld_extra_08495,TiktokAds,contacted,[],48,low,cmp_699,Son Kem Lì 3CE Chasing Rose - Hồng Kem Sữa 4.6g,user_22,2025-11-12T00:51:00Z,79,2,message,0.178,0,0
ld_05484,Referral,new,[],67,low,cmp_862,Son Kem Lì Espoir Garnet - Màu Đỏ Đất 7.5g,user_26,2025-11-07T03:05:00Z,59,0,,0.3236,0,0
ld_01420,Partner,new,['hot-lead'],85,high,,Son Dưỡng Có Màu Vaseline Đỏ Tươi Tắn 3g,user_05,2025-07-15T21:04:00Z,86,4,chat,0.648,1,231000
ld_06210,FacebookAds,contacted,['quan-tam-duong-da'],61,urgent,cmp_585,Son Kem Lì Silkygirl Lâu Trôi 04 Kissy - Đỏ Cam 2ml,user_13,2025-12-15T08:51:00Z,22,2,message,0.1488,0,0
ld_extra_00743,InBound,qualified,"['hot-lead', 'vip']",73,high,cmp_625,Son Dưỡng Có Màu Vaseline Hồng Cam Êm Dịu 3g,user_20,2025-03-02T08:58:00Z,81,2,message,0.4831,1,154000
ld_extra_06144,InBound,new,['mua-lai'],70,medium,cmp_333,Son Bóng 3CE Dạng Gel Màu Calming 4g,user_08,2025-01-07T23:12:00Z,27,3,chat,0.4575,0,0
ld_extra_07618,Website,nurturing,['quan-tam-duong-da'],45,medium,,Son Kem Lì B.O.M #H BG 501 Vintage Brick - Đỏ Gạch 8.5g,,2025-04-09T23:08:00Z,72,1,message,0.1803,0,0
ld_extra_04569,TiktokAds,new,['quan-tam-duong-da'],26,medium,cmp_791,Son Tint Black Rouge DL06 Woody Layer Đỏ Nâu Pha Cam 4.1g,user_24,2025-08-09T04:34:00Z,71,2,message,0.108,0,0
ld_00981,FacebookAds,nurturing,['quan-tam-duong-da'],81,high,cmp_724,Son Lì B.O.M #808 My Warm Red - Đỏ Đất 3.5g,,2025-06-15T04:02:00Z,20,2,message,0.1648,1,272000
ld_02784,Referral,new,['vip'],72,urgent,cmp_169,Son Kem Lì Flawsome Mịn Nhẹ Be Mine - Nâu Cam 3g,user_15,2025-04-09T17:14:00Z,64,3,message,0.6376,1,430000
ld_07714,Event,contacted,[],31,low,cmp_817,Son Tint Black Rouge DL10 Romantic Pink - Hồng Rose 4.1g,user_30,2025-12-10T05:57:00Z,30,0,,0.0448,0,0
ld_extra_01519,Partner,qualified,"['hot-lead', 'vip']",72,medium,cmp_453,Son Dưỡng Laneige Căng Bóng Hương Xoài 10g,user_03,2025-11-22T10:51:00Z,20,5,chat,0.4794,1,307000
ld_08601,FacebookAds,contacted,['quan-tam-duong-da'],55,medium,,Son Tint Bóng Silkygirl 01 Papaya - Cam San Hô 3g,user_20,2025-07-25T16:49:00Z,6,0,,0.064,0,0
ld_extra_01641,Website,nurturing,['quan-tam-son'],63,high,,Dưỡng Môi Đa Năng Pure Paw Paw Từ Đu Đủ Hương Dưa Hấu 25g,user_13,2025-10-26T10:11:00Z,0,4,message,0.4217,0,0
ld_extra_08831,Website,contacted,"['hot-lead', 'vip']",79,urgent,,Combo 2 Son Dưỡng LipIce Hiệu Chỉnh Sắc Môi Hương Táo + Hương Tinh Khiết 2.4g,user_26,2025-10-17T17:00:00Z,22,3,email,0.3461,1,390000
ld_extra_02563,Partner,new,"['hot-lead', 'vip']",67,high,cmp_394,Son Thỏi 3CE Căng Bóng Opal Shower - Hồng Ngọc Trai 1.7g,user_20,2025-07-03T02:38:00Z,29,5,call,0.6045,0,0
ld_extra_02752,LandingPage,contacted,[],42,medium,,Son Thỏi 3CE Căng Bóng Milky Shadow - Nâu Tự Nhiên 1.7g,user_29,2025-06-21T03:06:00Z,50,0,,0.1681,0,0
ld_06385,TiktokAds,new,['quan-tam-duong-da'],61,low,cmp_591,"Son Dưỡng Môi Mediheal Hỗ Trợ Mờ Thâm, Dưỡng Ẩm Ban Ngày 10ml",user_13,2025-03-18T12:00:00Z,2,1,email,0.0688,0,0
ld_04808,TiktokAds,qualified,['vip'],71,medium,,Son Kem Silkygirl Tươi Mọng Lâu Trôi - 06 Hồng San Hô 4.5g,user_16,2025-12-06T07:02:00Z,28,4,chat,0.3068,1,136000
ld_06196,FacebookAds,qualified,[],47,medium,cmp_713,Son Bóng Menard TK Màu Hồng Thanh Tú A300 3.2g,user_01,2025-09-15T09:39:00Z,24,1,email,0.0576,0,0
ld_extra_00649,Referral,qualified,"['hot-lead', 'vip']",68,urgent,cmp_677,Combo 2 Son Dưỡng LipIce Hiệu Chỉnh Sắc Môi Hương Táo + Hương Tinh Khiết 2.4g,,2025-04-10T19:55:00Z,22,4,message,0.6442,1,130000
ld_07568,LandingPage,contacted,[],43,medium,cmp_364,Son Tint Bóng Silkygirl 01 Papaya - Cam San Hô 3g,user_30,2025-06-07T01:16:00Z,26,0,,0.0544,0,0
ld_extra_06398,LandingPage,qualified,[],48,low,,Son Kem Lì Espoir Marron Chou - Màu Đỏ Cam Đất 7.5g,user_26,2025-12-14T20:15:00Z,4,0,,0.1486,1,235000
ld_extra_07525,LandingPage,new,['quan-tam-duong-da'],44,high,cmp_444,[HSD 07/2026] Son Tint Judydoll Căng Bóng Mát Lạnh - 11 Hồng Vỏ Đỗ 2.4g,user_17,2025-11-08T04:59:00Z,40,4,email,0.2136,0,0
ld_01347,Referral,nurturing,['hot-lead'],73,high,,Son Dưỡng Lip Pure Có Màu Cherry Red - Đỏ Anh Đào 3.8g,user_15,2025-11-13T10:34:00Z,42,4,chat,0.6384,1,93000
ld_extra_03125,Event,qualified,[],40,medium,cmp_552,[HSD 08/2026] Son Dưỡng Có Màu Silkygirl 02 Luscious - Đỏ Cháy 3.2g,user_06,2025-04-13T14:27:00Z,6,1,call,0.1367,0,0
ld_extra_02674,LandingPage,new,[],49,medium,,Son Lì B.O.M #803 My Orange - Đỏ Cam 3.5g,user_12,2025-05-06T14:25:00Z,52,0,,0.1675,0,0
ld_extra_05456,InBound,nurturing,[],91,medium,cmp_173,Nước Tẩy Trang Mắt Môi Silkygirl 55ml,user_27,2025-03-30T07:26:00Z,36,0,,0.3707,0,0
ld_extra_04002,LandingPage,contacted,"['hot-lead', 'mua-lai']",24,high,cmp_552,Son Dưỡng Có Màu Silkygirl 05 Divine - Đỏ Cà Chua 3.2g,user_19,2025-01-01T23:59:00Z,49,0,,0.1608,0,0
ld_extra_08622,Event,qualified,['quan-tam-son'],65,medium,cmp_777,Son Kem Lì Glamrr Q 02 Lovely Day - Đỏ Nâu Trầm 5g,user_18,2025-05-08T06:30:00Z,42,1,call,0.1927,0,0
ld_02120,Website,new,"['hot-lead', 'mua-lai']",84,urgent,cmp_571,Son Kem Maybelline 30 Coquettish - Hoa Hồng Đỏ 5ml,,2025-09-28T21:00:00Z,28,5,call,0.3972,1,167000
ld_extra_05305,Website,contacted,[],74,low,cmp_230,Combo 2 Son Dưỡng LipIce Hiệu Chỉnh Sắc Môi Hương Táo + Hương Tinh Khiết 2.4g,user_02,2025-12-05T06:05:00Z,60,2,message,0.1314,0,0
ld_04310,Website,qualified,['hot-lead'],57,high,cmp_258,Son Kem Lì 3CE Mịn Như Nhung Going Right - Hồng Cá Hồi 4g,user_18,2025-12-02T08:52:00Z,70,5,message,0.3756,1,498000
ld_04485,Referral,qualified,"['vip', 'mua-lai']",74,high,cmp_847,Son Kem Lì Espoir Marron Chou - Màu Đỏ Cam Đất 7.5g,user_22,2025-02-22T23:58:00Z,74,5,chat,0.6392,1,705000
ld_extra_01014,Referral,contacted,"['hot-lead', 'vip']",65,urgent,cmp_217,Son Dưỡng Môi DHC Không Màu Hỗ Trợ Giảm Thâm Môi 1.5g,user_26,2025-09-25T00:46:00Z,65,1,call,0.3205,0,0
ld_04771,InBound,qualified,"['vip', 'mua-lai']",72,medium,,Son Kem Lì Espoir Garnet - Màu Đỏ Đất 7.5g,user_17,2025-10-13T15:10:00Z,74,4,call,0.5576,1,235000
ld_02713,Event,new,['vip'],96,low,cmp_236,[HSD 07/2026] Son Tint Judydoll Căng Mọng - N05 Hồng Sung Sữa 2.4g,user_28,2025-03-04T02:21:00Z,75,2,email,0.2468,1,135000
ld_extra_02187,Partner,nurturing,['hot-lead'],78,medium,,Son Môi Flawsome Good Times - Cam Hồng Đất (Bản Holiday) 2g,,2025-07-08T14:11:00Z,31,3,call,0.5318,0,0
ld_extra_06616,Referral,qualified,['hot-lead'],89,urgent,cmp_107,Son Môi Flawsome Low Key - Cam Cháy (Bản Holiday) 2g,user_22,2025-12-14T04:49:00Z,72,2,chat,0.5589,0,0
ld_extra_00948,Referral,qualified,['vip'],66,high,cmp_810,Son Tint Bóng Silkygirl 02 Sugar - Cam Đào 3g,user_22,2025-06-05T19:54:00Z,14,4,email,0.7507,1,294000
ld_02546,FacebookAds,nurturing,"['vip', 'mua-lai']",75,low,cmp_186,Son Kem Lì Cathy Doll #07 Classy Brick 3.5g,,2025-10-10T19:50:00Z,69,1,chat,0.23,1,230000
ld_extra_02620,Referral,contacted,['hot-lead'],69,medium,cmp_638,Son Kem Bùn Into You Lì Mịn Nhẹ - C3 Hồng Hoa Cà 1.8g,,2025-06-21T08:49:00Z,56,3,message,0.4785,0,0
ld_09852,LandingPage,qualified,[],57,low,cmp_617,Son Môi Flawsome Good Times - Cam Hồng Đất (Bản Holiday) 2g,user_25,2025-01-01T23:48:00Z,41,0,,0.0656,0,0
ld_04411,LandingPage,qualified,['mua-lai'],77,low,cmp_755,[Mini] Son Kem Lì 3CE Early Hour - Hồng Hoa Cà 1.5g,user_20,2025-10-06T14:53:00Z,27,3,chat,0.3116,1,50000
ld_extra_09648,InBound,contacted,['mua-lai'],79,high,cmp_463,Son Lì Naris Ailus Mịn Môi Màu 01 Đỏ Thuần 4g,user_15,2025-05-30T03:20:00Z,41,4,email,0.4323,0,0
ld_extra_02345,LandingPage,contacted,[],39,low,cmp_528,Combo Judydoll Son Dưỡng Có Màu 04 Hồng Cam Lạnh + Son Tint N05 Hồng Sung Sữa 3g+2.4g,user_21,2025-02-23T02:48:00Z,87,2,call,0.0882,0,0
ld_extra_02408,Website,contacted,[],38,medium,cmp_175,Son Kem Lì Australis Mịn Môi Cushion - Màu Cam Cháy 4g,,2025-10-03T17:38:00Z,74,0,,0.1719,0,0
ld_09611,Website,contacted,['quan-tam-duong-da'],52,low,cmp_484,Sáp Tẩy Trang Banila Co Original Cho Mọi Loại Da 100ml,user_13,2025-04-04T03:19:00Z,49,0,,0.0616,0,0
ld_extra_00719,Referral,new,"['hot-lead', 'vip']",79,urgent,cmp_788,Son Kem Maybelline 30 Coquettish - Hoa Hồng Đỏ 5ml,user_12,2025-10-31T02:53:00Z,78,2,message,0.4182,1,167000
ld_07572,LandingPage,contacted,['quan-tam-duong-da'],72,low,,Son Lì B.O.M #811 My Fancy Red - Đỏ Rượu 3.5g,user_08,2025-07-27T18:14:00Z,27,0,,0.0776,0,0
ld_03571,Referral,nurturing,['mua-lai'],89,low,cmp_490,Son Bóng Maybelline 130 Extra - Đỏ Nâu Đất 4.2ml,user_26,2025-07-17T13:49:00Z,7,1,message,0.4912,1,182000
ld_08603,InBound,nurturing,['quan-tam-duong-da'],56,low,cmp_875,Son Tint Bóng Silkygirl 01 Papaya - Cam San Hô 3g,user_06,2025-07-03T04:36:00Z,24,1,chat,0.3148,0,0
ld_03560,Partner,contacted,['mua-lai'],66,low,,Son Tint Black Rouge DL10 Romantic Pink - Hồng Rose 4.1g,user_28,2025-11-23T02:14:00Z,81,3,chat,0.5528,1,222000
ld_04992,Website,new,"['hot-lead', 'vip']",83,high,cmp_213,Son Kem Lì Cathy Doll #05 Like U Summer 3.5 g,user_29,2025-12-18T11:33:00Z,29,3,chat,0.3964,1,159000
ld_07440,LandingPage,new,[],46,medium,cmp_616,Son Tint Bóng Silkygirl 02 Sugar - Cam Đào 3g,,2025-04-05T19:49:00Z,35,0,,0.0568,0,0
ld_09326,Partner,new,['quan-tam-duong-da'],59,medium,cmp_508,Son Kem Lì Australis Mịn Môi Dreamy - Màu Hồng Sen 4g,user_09,2025-04-02T19:27:00Z,87,1,call,0.3172,0,0
ld_02301,FacebookAds,contacted,"['vip', 'mua-lai']",60,low,,Son Kem Lì Australis Mịn Môi Cushion - Màu Cam Cháy 4g,user_09,2025-02-12T03:57:00Z,48,4,call,0.298,1,239000
ld_07667,InBound,new,[],38,low,cmp_539,Son Kem Lì 3CE Casual Affair - Hồng Nho 4.6g,user_30,2025-10-13T09:45:00Z,19,0,,0.3004,0,0
